purchase_detail_id,quantity,unit_cost,purchase_id,ingredient_id
PD00080,10,145.37,PO0081,ing0081
PD00081,15,196.8,PO0082,ing0082
PD00082,17,84.15,PO0083,ing0083
PD00083,19,154.93,PO0084,ing0084
PD00084,23,261.96,PO0085,ing0085
PD00085,2,259.15,PO0086,ing0086
PD00086,8,119.84,PO0087,ing0087
PD00087,28,51.38,PO0088,ing0088
PD00088,26,275.92,PO0089,ing0089
PD00089,15,237.81,PO0090,ing0090
PD00090,15,197.09,PO0091,ing0091
PD00091,15,168.46,PO0092,ing0092
PD00092,29,88.97,PO0093,ing0093
PD00093,12,99.3,PO0094,ing0094
PD00094,29,217.99,PO0095,ing0095
PD00095,1,73.61,PO0096,ing0096
PD00096,13,57.43,PO0097,ing0097
PD00097,13,106,PO0098,ing0098
PD00098,14,243.59,PO0099,ing0099
PD00099,7,66.91,PO0100,ing0100
PD00100,28,232.82,PO0001,ing0101
PD00101,29,299.48,PO0002,ing0102
PD00102,16,124.73,PO0003,ing0103
PD00103,16,171.9,PO0004,ing0104
PD00104,17,272.92,PO0005,ing0105
PD00105,3,191.35,PO0006,ing0106
PD00106,11,35.44,PO0007,ing0107
PD00107,28,269.07,PO0008,ing0108
PD00108,24,287.99,PO0009,ing0109
PD00109,2,21.44,PO0010,ing0110
PD00110,24,97.52,PO0011,ing0111
PD00111,13,279.2,PO0012,ing0112
PD00112,17,156.31,PO0013,ing0113
PD00113,24,101.03,PO0014,ing0114
PD00114,29,208.44,PO0015,ing0115
PD00115,8,82.7,PO0016,ing0116
PD00116,12,52.59,PO0017,ing0117
PD00117,18,101.07,PO0018,ing0118
PD00118,15,77.79,PO0019,ing0119
PD00119,30,50.15,PO0020,ing0120
PD00120,20,202.71,PO0021,ing0121
PD00121,12,44.8,PO0022,ing0122
PD00122,1,82.74,PO0023,ing0123
PD00123,28,262.22,PO0024,ing0124
PD00124,19,48.41,PO0025,ing0125
PD00125,3,80.76,PO0026,ing0001
PD00126,21,127.03,PO0027,ing0002
PD00127,29,193.91,PO0028,ing0003
PD00128,6,170.9,PO0029,ing0004
PD00129,1,70.87,PO0030,ing0005
PD00130,19,61.58,PO0031,ing0006
PD00131,21,227.27,PO0032,ing0007
PD00132,10,125.74,PO0033,ing0008
PD00133,4,224.59,PO0034,ing0009
PD00134,12,191.3,PO0035,ing0010
PD00135,30,110.01,PO0036,ing0011
PD00136,7,260.57,PO0037,ing0012
PD00137,25,159.3,PO0038,ing0013
PD00138,18,131.73,PO0039,ing0014
PD00139,7,32.36,PO0040,ing0015
PD00140,18,194.69,PO0041,ing0016
PD00141,14,188.33,PO0042,ing0017
PD00142,17,297.46,PO0043,ing0018
PD00143,19,99.94,PO0044,ing0019
PD00144,19,228.03,PO0045,ing0020
PD00145,30,118.7,PO0046,ing0021
PD00146,17,236.9,PO0047,ing0022
PD00147,20,208.38,PO0048,ing0023
PD00148,26,217.47,PO0049,ing0024
PD00149,17,292.65,PO0050,ing0025
PD00150,16,207.65,PO0051,ing0026
PD00151,2,225.68,PO0052,ing0027
PD00152,19,143.93,PO0053,ing0028
PD00153,13,82.22,PO0054,ing0029
PD00154,27,57.23,PO0055,ing0030
PD00155,10,159.59,PO0056,ing0031
PD00156,29,56.2,PO0057,ing0032
PD00157,20,155.21,PO0058,ing0033
PD00158,13,115.24,PO0059,ing0034
PD00159,5,22.69,PO0060,ing0035
PD00160,17,134.02,PO0061,ing0036
PD00161,17,82.65,PO0062,ing0037
PD00162,15,198.8,PO0063,ing0038
PD00163,6,32.57,PO0064,ing0039
PD00164,16,165.92,PO0065,ing0040
PD00165,24,248,PO0066,ing0041
PD00166,7,156.79,PO0067,ing0042
PD00167,26,53.06,PO0068,ing0043
PD00168,11,153.9,PO0069,ing0044
PD00169,25,207.36,PO0070,ing0045
PD00170,21,287.41,PO0071,ing0046
PD00171,29,166.31,PO0072,ing0047
PD00172,24,171.83,PO0073,ing0048
PD00173,13,138.26,PO0074,ing0049
PD00174,4,293.81,PO0075,ing0050
PD00175,19,158.18,PO0076,ing0051
PD00176,18,121.93,PO0077,ing0052
PD00177,18,186.3,PO0078,ing0053
PD00178,19,212.38,PO0079,ing0054
PD00179,12,137.55,PO0080,ing0055
PD00180,30,160.25,PO0081,ing0056
PD00181,21,114.73,PO0082,ing0057
PD00182,6,76.85,PO0083,ing0058
PD00183,22,253.72,PO0084,ing0059
PD00184,3,31.42,PO0085,ing0060
PD00185,1,142.79,PO0086,ing0061
PD00186,3,204.22,PO0087,ing0062
PD00187,28,193.73,PO0088,ing0063
PD00188,30,221.84,PO0089,ing0064
PD00189,26,247.95,PO0090,ing0065
PD00190,3,119.33,PO0091,ing0066
PD00191,18,112.7,PO0092,ing0067
PD00192,18,75.21,PO0093,ing0068
PD00193,18,269.82,PO0094,ing0069
PD00194,9,101.99,PO0095,ing0070
PD00195,21,291.6,PO0096,ing0071
PD00196,30,255.86,PO0097,ing0072
PD00197,5,234.09,PO0098,ing0073
PD00198,30,288.61,PO0099,ing0074
PD00199,29,54.48,PO0100,ing0075
PD00200,4,226.93,PO0001,ing0076
PD00201,3,228.08,PO0002,ing0077
PD00202,28,180.06,PO0003,ing0078
PD00203,6,150.4,PO0004,ing0079
PD00204,26,142.01,PO0005,ing0080
PD00205,25,289.8,PO0006,ing0081
PD00206,19,282.13,PO0007,ing0082
PD00207,16,275.42,PO0008,ing0083
PD00208,29,29.91,PO0009,ing0084
PD00209,25,99.36,PO0010,ing0085
PD00210,17,258.79,PO0011,ing0086
PD00211,19,217.57,PO0012,ing0087
PD00212,10,260.52,PO0013,ing0088
PD00213,6,123.31,PO0014,ing0089
PD00214,12,39.74,PO0015,ing0090
PD00215,23,31.36,PO0016,ing0091
PD00216,30,159.33,PO0017,ing0092
PD00217,18,278.56,PO0018,ing0093
PD00218,2,138.05,PO0019,ing0094
PD00219,11,211.55,PO0020,ing0095
PD00220,24,25,PO0021,ing0096
PD00221,26,176.5,PO0022,ing0097
PD00222,5,240.66,PO0023,ing0098
PD00223,21,151.13,PO0024,ing0099
PD00224,22,34.79,PO0025,ing0100
PD00225,17,218.02,PO0026,ing0101
PD00226,11,151.59,PO0027,ing0102
PD00227,1,266.53,PO0028,ing0103
PD00228,18,135.34,PO0029,ing0104
PD00229,26,32.14,PO0030,ing0105
PD00230,15,198.34,PO0031,ing0106
PD00231,28,37.14,PO0032,ing0107
PD00232,6,88.08,PO0033,ing0108
PD00233,18,272.39,PO0034,ing0109
PD00234,3,88.55,PO0035,ing0110
PD00235,14,146.79,PO0036,ing0111
PD00236,3,235.91,PO0037,ing0112
PD00237,4,243.95,PO0038,ing0113
PD00238,22,31.4,PO0039,ing0114
PD00239,24,73.22,PO0040,ing0115
PD00240,23,235.68,PO0041,ing0116
PD00241,24,48.04,PO0042,ing0117
PD00242,24,117.14,PO0043,ing0118
PD00243,6,68.84,PO0044,ing0119
PD00244,7,163.44,PO0045,ing0120
PD00245,24,74.76,PO0046,ing0121
PD00246,5,29.09,PO0047,ing0122
PD00247,26,58.16,PO0048,ing0123
PD00248,8,121.97,PO0049,ing0124
PD00249,16,126.26,PO0050,ing0125
PD00250,5,278.26,PO0051,ing0001
PD00251,29,235.06,PO0052,ing0002
PD00252,28,271.36,PO0053,ing0003
PD00253,10,171.17,PO0054,ing0004
PD00254,28,226.33,PO0055,ing0005
PD00255,11,73.97,PO0056,ing0006
PD00256,15,298.28,PO0057,ing0007
PD00257,15,279.69,PO0058,ing0008
PD00258,28,261.71,PO0059,ing0009
PD00259,17,69.56,PO0060,ing0010
PD00260,26,31.75,PO0061,ing0011
PD00261,21,126.92,PO0062,ing0012
PD00262,14,188.88,PO0063,ing0013
PD00263,6,239.89,PO0064,ing0014
PD00264,22,256.19,PO0065,ing0015
PD00265,12,192.68,PO0066,ing0016
PD00266,24,96.52,PO0067,ing0017
PD00267,26,77.86,PO0068,ing0018
PD00268,10,77.6,PO0069,ing0019
PD00269,18,60.56,PO0070,ing0020
PD00270,18,188.47,PO0071,ing0021
PD00271,16,223.06,PO0072,ing0022
PD00272,30,251.6,PO0073,ing0023
PD00273,25,75.55,PO0074,ing0024
PD00274,19,135.13,PO0075,ing0025
PD00275,22,40.24,PO0076,ing0026
PD00276,6,78.02,PO0077,ing0027
PD00277,1,184.75,PO0078,ing0028
PD00278,2,270.25,PO0079,ing0029
PD00279,28,216.07,PO0080,ing0030
PD00280,24,200.85,PO0081,ing0031
PD00281,30,112.63,PO0082,ing0032
PD00282,13,23.04,PO0083,ing0033
PD00283,17,261.4,PO0084,ing0034
PD00284,27,61.03,PO0085,ing0035
PD00285,28,178.92,PO0086,ing0036
PD00286,10,191.73,PO0087,ing0037
PD00287,24,112.68,PO0088,ing0038
PD00288,27,191.17,PO0089,ing0039
PD00289,22,282.32,PO0090,ing0040
PD00290,26,92.04,PO0091,ing0041
PD00291,19,120.97,PO0092,ing0042
PD00292,11,205.83,PO0093,ing0043
PD00293,13,239.27,PO0094,ing0044
PD00294,18,288.74,PO0095,ing0045
PD00295,26,175.44,PO0096,ing0046
PD00296,9,147.51,PO0097,ing0047
PD00297,20,129.33,PO0098,ing0048
PD00298,24,146.56,PO0099,ing0049
PD00299,8,82.6,PO0100,ing0050
PD00300,6,184.92,PO0001,ing0051
PD00301,17,48.66,PO0002,ing0052
PD00302,2,75.74,PO0003,ing0053
PD00303,12,44.54,PO0004,ing0054
PD00304,27,254.67,PO0005,ing0055
PD00305,9,104.67,PO0006,ing0056
PD00306,3,115.37,PO0007,ing0057
PD00307,25,139.46,PO0008,ing0058
PD00308,11,282.28,PO0009,ing0059
PD00309,3,148.55,PO0010,ing0060
PD00310,14,128.76,PO0011,ing0061
PD00311,23,59.87,PO0012,ing0062
PD00312,1,150.75,PO0013,ing0063
PD00313,28,233.8,PO0014,ing0064
PD00314,24,253.25,PO0015,ing0065
PD00315,16,277.91,PO0016,ing0066
PD00316,21,286.93,PO0017,ing0067
PD00317,15,36.46,PO0018,ing0068
PD00318,11,61.12,PO0019,ing0069
PD00319,8,154.52,PO0020,ing0070
PD00320,15,289.31,PO0021,ing0071
PD00321,27,286.69,PO0022,ing0072
PD00322,15,213.03,PO0023,ing0073
PD00323,11,75.11,PO0024,ing0074
PD00324,5,202.65,PO0025,ing0075
PD00325,23,195.93,PO0026,ing0076
PD00326,15,107.81,PO0027,ing0077
PD00327,30,40.24,PO0028,ing0078
PD00328,23,232.85,PO0029,ing0079
PD00329,16,273.17,PO0030,ing0080
PD00330,20,228.67,PO0031,ing0081
PD00331,4,224.23,PO0032,ing0082
PD00332,4,158.48,PO0033,ing0083
PD00333,3,34.38,PO0034,ing0084
PD00334,2,261.42,PO0035,ing0085
PD00335,4,101.92,PO0036,ing0086
PD00336,17,198.45,PO0037,ing0087
PD00337,5,268.09,PO0038,ing0088
PD00338,14,280.05,PO0039,ing0089
PD00339,19,81.96,PO0040,ing0090
PD00340,29,174.34,PO0041,ing0091
PD00341,3,105.43,PO0042,ing0092
PD00342,26,224.48,PO0043,ing0093
PD00343,20,179.29,PO0044,ing0094
PD00344,1,55.19,PO0045,ing0095
PD00345,1,130.25,PO0046,ing0096
PD00346,29,133.4,PO0047,ing0097
PD00347,20,264.82,PO0048,ing0098
PD00348,3,298.46,PO0049,ing0099
PD00349,29,158.31,PO0050,ing0100
PD00350,1,229.15,PO0051,ing0101
PD00351,29,122.31,PO0052,ing0102
PD00352,1,283.1,PO0053,ing0103
PD00353,17,294.46,PO0054,ing0104
PD00354,7,237.59,PO0055,ing0105
PD00355,2,225.14,PO0056,ing0106
PD00356,26,41.74,PO0057,ing0107
PD00357,11,108.87,PO0058,ing0108
PD00358,21,130.58,PO0059,ing0109
PD00359,22,147.04,PO0060,ing0110
PD00360,27,172.52,PO0061,ing0111
PD00361,21,119.98,PO0062,ing0112
PD00362,27,23.3,PO0063,ing0113
PD00363,17,41.5,PO0064,ing0114
PD00364,18,251.84,PO0065,ing0115
PD00365,27,211.6,PO0066,ing0116
PD00366,8,135.62,PO0067,ing0117
PD00367,4,260.56,PO0068,ing0118
PD00368,20,274.3,PO0069,ing0119
PD00369,9,92.15,PO0070,ing0120
PD00370,4,233.49,PO0071,ing0121
PD00371,14,267.46,PO0072,ing0122
PD00372,6,245.38,PO0073,ing0123
PD00373,22,249.67,PO0074,ing0124
PD00374,8,264.95,PO0075,ing0125
PD00375,27,47.56,PO0076,ing0001
PD00376,17,250.71,PO0077,ing0002
PD00377,27,167.45,PO0078,ing0003
PD00378,9,219.38,PO0079,ing0004
PD00379,23,22.98,PO0080,ing0005
PD00380,20,84.79,PO0081,ing0006
PD00381,2,239.7,PO0082,ing0007
PD00382,20,270.35,PO0083,ing0008
PD00383,5,119.7,PO0084,ing0009
PD00384,20,189.67,PO0085,ing0010
PD00385,21,166.03,PO0086,ing0011
PD00386,16,71.54,PO0087,ing0012
PD00387,15,255.71,PO0088,ing0013
PD00388,16,105.68,PO0089,ing0014
PD00389,16,76.98,PO0090,ing0015
PD00390,29,35.29,PO0091,ing0016
PD00391,3,20.66,PO0092,ing0017
PD00392,25,109.39,PO0093,ing0018
PD00393,20,39.58,PO0094,ing0019
PD00394,19,68.48,PO0095,ing0020
PD00395,10,217.17,PO0096,ing0021
PD00396,11,197.13,PO0097,ing0022
PD00397,2,208.66,PO0098,ing0023
PD00398,22,171.55,PO0099,ing0024
PD00399,18,261.55,PO0100,ing0025
PD00400,6,29.4,PO0001,ing0026
PD00401,8,27.81,PO0002,ing0027
PD00402,19,183.52,PO0003,ing0028
PD00403,15,63.43,PO0004,ing0029
PD00404,22,169.48,PO0005,ing0030
PD00405,10,95.86,PO0006,ing0031
PD00406,21,104.32,PO0007,ing0032
PD00407,11,204.77,PO0008,ing0033
PD00408,20,181.64,PO0009,ing0034
PD00409,28,296.28,PO0010,ing0035
PD00410,27,59.56,PO0011,ing0036
PD00411,24,295.57,PO0012,ing0037
PD00412,23,290.32,PO0013,ing0038
PD00413,24,266.37,PO0014,ing0039
PD00414,1,212.48,PO0015,ing0040
PD00415,30,208.41,PO0016,ing0041
PD00416,11,154.89,PO0017,ing0042
PD00417,16,77.27,PO0018,ing0043
PD00418,2,296.52,PO0019,ing0044
PD00419,23,241.65,PO0020,ing0045
PD00420,19,50,PO0021,ing0046
PD00421,30,77.9,PO0022,ing0047
PD00422,25,204.43,PO0023,ing0048
PD00423,4,149.25,PO0024,ing0049
PD00424,22,220.97,PO0025,ing0050
PD00425,5,160.82,PO0026,ing0051
PD00426,15,24.14,PO0027,ing0052
PD00427,17,262.6,PO0028,ing0053
PD00428,5,41.35,PO0029,ing0054
PD00429,29,262.46,PO0030,ing0055
PD00430,5,284.41,PO0031,ing0056
PD00431,15,27.69,PO0032,ing0057
PD00432,1,161.63,PO0033,ing0058
PD00433,16,175.13,PO0034,ing0059
PD00434,26,177.33,PO0035,ing0060
PD00435,29,192.04,PO0036,ing0061
PD00436,12,225.19,PO0037,ing0062
PD00437,4,160.69,PO0038,ing0063
PD00438,2,276.63,PO0039,ing0064
PD00439,28,240.58,PO0040,ing0065
PD00440,12,278.17,PO0041,ing0066
PD00441,13,289.72,PO0042,ing0067
PD00442,18,277.41,PO0043,ing0068
PD00443,7,220.11,PO0044,ing0069
PD00444,26,249.09,PO0045,ing0070
PD00445,19,89.06,PO0046,ing0071
PD00446,24,170.25,PO0047,ing0072
PD00447,8,214.86,PO0048,ing0073
PD00448,29,143.82,PO0049,ing0074
PD00449,30,283.24,PO0050,ing0075
PD00450,7,260.38,PO0051,ing0076
PD00451,4,72.95,PO0052,ing0077
PD00452,5,120.42,PO0053,ing0078
PD00453,8,102.33,PO0054,ing0079
PD00454,25,97.61,PO0055,ing0080
PD00455,8,223.94,PO0056,ing0081
PD00456,27,259.85,PO0057,ing0082
PD00457,18,24.67,PO0058,ing0083
PD00458,18,193.47,PO0059,ing0084
PD00459,17,180.27,PO0060,ing0085
PD00460,19,127.23,PO0061,ing0086
PD00461,19,84.15,PO0062,ing0087
PD00462,25,68.4,PO0063,ing0088
PD00463,10,117.52,PO0064,ing0089
PD00464,23,146.42,PO0065,ing0090
PD00465,12,208.85,PO0066,ing0091
PD00466,11,256.74,PO0067,ing0092
PD00467,8,263.43,PO0068,ing0093
PD00468,23,29.29,PO0069,ing0094
PD00469,30,284.75,PO0070,ing0095
PD00470,26,225.86,PO0071,ing0096
PD00471,30,141.23,PO0072,ing0097
PD00472,23,83.82,PO0073,ing0098
PD00473,6,267.53,PO0074,ing0099
PD00474,28,225.59,PO0075,ing0100
PD00475,29,98.84,PO0076,ing0101
PD00476,16,163.84,PO0077,ing0102
PD00477,22,155.74,PO0078,ing0103
PD00478,17,152.52,PO0079,ing0104
PD00479,29,194.42,PO0080,ing0105
PD00480,1,64.48,PO0081,ing0106
PD00481,3,140.4,PO0082,ing0107
PD00482,16,99.22,PO0083,ing0108
PD00483,1,122.01,PO0084,ing0109
PD00484,23,117.28,PO0085,ing0110
PD00485,21,127.96,PO0086,ing0111
PD00486,19,204.79,PO0087,ing0112
PD00487,19,270.43,PO0088,ing0113
PD00488,12,197.06,PO0089,ing0114
PD00489,1,230.58,PO0090,ing0115
PD00490,26,34.02,PO0091,ing0116
PD00491,27,213.19,PO0092,ing0117
PD00492,10,286.93,PO0093,ing0118
PD00493,7,265.17,PO0094,ing0119
PD00494,23,136.1,PO0095,ing0120
PD00495,1,286.24,PO0096,ing0121
PD00496,14,186.05,PO0097,ing0122
PD00497,4,268.65,PO0098,ing0123
PD00498,4,59.97,PO0099,ing0124
PD00499,26,45.68,PO0100,ing0125
PD00500,26,127.27,PO0001,ing0001
PD00501,30,246.89,PO0002,ing0002
PD00502,25,126.96,PO0003,ing0003
PD00503,17,86.15,PO0004,ing0004
PD00504,21,190.56,PO0005,ing0005
PD00505,12,73.21,PO0006,ing0006
PD00506,18,145.41,PO0007,ing0007
PD00507,5,78.58,PO0008,ing0008
PD00508,1,141.45,PO0009,ing0009
PD00509,16,71.12,PO0010,ing0010
PD00510,23,263.26,PO0011,ing0011
PD00511,15,64.28,PO0012,ing0012
PD00512,3,168.38,PO0013,ing0013
PD00513,2,276.27,PO0014,ing0014
PD00514,26,114.43,PO0015,ing0015
PD00515,22,58.43,PO0016,ing0016
PD00516,1,188.61,PO0017,ing0017
PD00517,21,40.78,PO0018,ing0018
PD00518,19,24.98,PO0019,ing0019
PD00519,20,207.61,PO0020,ing0020
PD00520,30,198.11,PO0021,ing0021
PD00521,10,134.13,PO0022,ing0022
PD00522,15,251.31,PO0023,ing0023
PD00523,20,263.05,PO0024,ing0024
PD00524,24,298.09,PO0025,ing0025
PD00525,9,238.21,PO0026,ing0026
PD00526,22,83.49,PO0027,ing0027
PD00527,4,212.6,PO0028,ing0028
PD00528,22,20.69,PO0029,ing0029
PD00529,13,135.48,PO0030,ing0030
PD00530,24,141.72,PO0031,ing0031
PD00531,9,100.14,PO0032,ing0032
PD00532,30,206.64,PO0033,ing0033
PD00533,18,157.37,PO0034,ing0034
PD00534,12,170.72,PO0035,ing0035
PD00535,19,181.43,PO0036,ing0036
PD00536,25,99.12,PO0037,ing0037
PD00537,15,198.4,PO0038,ing0038
PD00538,18,254.07,PO0039,ing0039
PD00539,10,156.28,PO0040,ing0040
PD00540,12,177.6,PO0041,ing0041
PD00541,8,98.58,PO0042,ing0042
PD00542,19,278.93,PO0043,ing0043
PD00543,26,115.8,PO0044,ing0044
PD00544,22,258.29,PO0045,ing0045
PD00545,26,160.33,PO0046,ing0046
PD00546,26,203.02,PO0047,ing0047
PD00547,29,236.65,PO0048,ing0048
PD00548,7,150.31,PO0049,ing0049
PD00549,7,116.67,PO0050,ing0050
PD00550,10,275.66,PO0051,ing0051
PD00551,27,188.79,PO0052,ing0052
PD00552,17,141.46,PO0053,ing0053
PD00553,14,291.19,PO0054,ing0054
PD00554,25,201.13,PO0055,ing0055
PD00555,1,216.63,PO0056,ing0056
PD00556,3,177.62,PO0057,ing0057
PD00557,16,117.61,PO0058,ing0058
PD00558,2,233.6,PO0059,ing0059
PD00559,1,54.71,PO0060,ing0060
PD00560,26,149.03,PO0061,ing0061
PD00561,28,259.52,PO0062,ing0062
PD00562,14,38.46,PO0063,ing0063
PD00563,21,226.96,PO0064,ing0064
PD00564,8,259.7,PO0065,ing0065
PD00565,24,199.27,PO0066,ing0066
PD00566,1,238.18,PO0067,ing0067
PD00567,14,53.21,PO0068,ing0068
PD00568,17,125.76,PO0069,ing0069
PD00569,12,229.56,PO0070,ing0070
PD00570,11,299.04,PO0071,ing0071
PD00571,14,220.38,PO0072,ing0072
PD00572,16,228.81,PO0073,ing0073
PD00573,12,37.43,PO0074,ing0074
PD00574,2,122.84,PO0075,ing0075
PD00575,29,109.98,PO0076,ing0076
PD00576,15,32.74,PO0077,ing0077
PD00577,24,230.51,PO0078,ing0078
PD00578,9,25.88,PO0079,ing0079
PD00579,28,288.39,PO0080,ing0080
PD00580,27,60.34,PO0081,ing0081
PD00581,3,111.6,PO0082,ing0082
PD00582,7,171.9,PO0083,ing0083
PD00583,26,204.56,PO0084,ing0084
PD00584,26,46.86,PO0085,ing0085
PD00585,27,261.98,PO0086,ing0086
PD00586,22,53.05,PO0087,ing0087
PD00587,28,88.76,PO0088,ing0088
PD00588,21,117.48,PO0089,ing0089
PD00589,26,230.05,PO0090,ing0090
PD00590,6,245.24,PO0091,ing0091
PD00591,20,83.5,PO0092,ing0092
PD00592,9,244.3,PO0093,ing0093
PD00593,8,252.03,PO0094,ing0094
PD00594,27,163.44,PO0095,ing0095
PD00595,26,64.33,PO0096,ing0096
PD00596,28,181.78,PO0097,ing0097
PD00597,20,135.04,PO0098,ing0098
PD00598,8,180.41,PO0099,ing0099
PD00599,26,168.99,PO0100,ing0100
PD00600,11,94.95,PO0001,ing0101
PD00601,24,282.67,PO0002,ing0102
PD00602,30,60.87,PO0003,ing0103
PD00603,30,91.52,PO0004,ing0104
PD00604,22,260.75,PO0005,ing0105
PD00605,8,125.3,PO0006,ing0106
PD00606,24,215.14,PO0007,ing0107
PD00607,28,121.33,PO0008,ing0108
PD00608,16,289.45,PO0009,ing0109
PD00609,18,206.03,PO0010,ing0110
PD00610,7,200.43,PO0011,ing0111
PD00611,10,28.94,PO0012,ing0112
PD00612,30,275.16,PO0013,ing0113
PD00613,3,108.16,PO0014,ing0114
PD00614,16,214.29,PO0015,ing0115
PD00615,2,112.68,PO0016,ing0116
PD00616,16,140.56,PO0017,ing0117
PD00617,12,155.43,PO0018,ing0118
PD00618,25,31.4,PO0019,ing0119
PD00619,7,88.43,PO0020,ing0120
PD00620,28,58.1,PO0021,ing0121
PD00621,9,176.72,PO0022,ing0122
PD00622,17,143.73,PO0023,ing0123
PD00623,18,269.28,PO0024,ing0124
PD00624,16,286.36,PO0025,ing0125
PD00625,10,62.65,PO0026,ing0001
PD00626,4,141.11,PO0027,ing0002
PD00627,28,177.24,PO0028,ing0003
PD00628,11,24.28,PO0029,ing0004
PD00629,5,236.06,PO0030,ing0005
PD00630,1,273.49,PO0031,ing0006
PD00631,29,239.16,PO0032,ing0007
PD00632,2,31.23,PO0033,ing0008
PD00633,24,267.22,PO0034,ing0009
PD00634,12,221.89,PO0035,ing0010
PD00635,19,72.76,PO0036,ing0011
PD00636,15,197.88,PO0037,ing0012
PD00637,12,149.39,PO0038,ing0013
PD00638,18,90.75,PO0039,ing0014
PD00639,18,248.28,PO0040,ing0015
PD00640,7,51.43,PO0041,ing0016
PD00641,11,75.27,PO0042,ing0017
PD00642,28,216.65,PO0043,ing0018
PD00643,29,173.42,PO0044,ing0019
PD00644,25,96.27,PO0045,ing0020
PD00645,13,194.74,PO0046,ing0021
PD00646,15,176.3,PO0047,ing0022
PD00647,6,227.78,PO0048,ing0023
PD00648,24,97.24,PO0049,ing0024
PD00649,20,144.29,PO0050,ing0025
PD00650,29,189.44,PO0051,ing0026
PD00651,3,258.02,PO0052,ing0027
PD00652,13,227.29,PO0053,ing0028
PD00653,7,296.47,PO0054,ing0029
PD00654,18,199.82,PO0055,ing0030
PD00655,30,29.48,PO0056,ing0031
PD00656,13,298.31,PO0057,ing0032
PD00657,14,282.83,PO0058,ing0033
PD00658,16,110.3,PO0059,ing0034
PD00659,28,215.78,PO0060,ing0035
PD00660,20,83.2,PO0061,ing0036
PD00661,8,39.91,PO0062,ing0037
PD00662,22,294.33,PO0063,ing0038
PD00663,5,209.18,PO0064,ing0039
PD00664,23,260.34,PO0065,ing0040
