purchase_id,purchase_date,total_cost,purchase_status,staff_id,supplier_id
PO0129,2026-05-09,2000.00,Completed,10008,sup1010
PO0130,2026-05-10,5750.00,Completed,10002,sup1012
PO0131,2026-05-11,5250.00,Pending,10008,sup1012
PO0132,2026-05-12,2250.00,Cancelled,10020,sup1015
PO0133,2026-05-13,2750.00,Completed,10026,sup1008
PO0134,2026-05-14,6000.00,Cancelled,10014,sup1006
PO0135,2026-05-15,1250.00,Pending,10002,sup1015
PO0136,2026-05-16,1000.00,Cancelled,10020,sup1015
PO0137,2026-05-17,3750.00,Pending,10038,sup1012
PO0138,2026-05-18,4250.00,Cancelled,10008,sup1013
PO0139,2026-05-19,4250.00,Cancelled,10002,sup1005
PO0140,2026-05-20,3250.00,Pending,10026,sup1012
PO0141,2026-05-21,5750.00,Cancelled,10026,sup1007
PO0142,2026-05-22,3000.00,Cancelled,10008,sup1004
PO0143,2026-05-23,1250.00,Pending,10002,sup1007
PO0144,2026-05-24,6000.00,Cancelled,10002,sup1009
PO0145,2026-05-25,3500.00,Cancelled,10020,sup1008
PO0146,2026-05-26,2000.00,Completed,10014,sup1004
PO0147,2026-05-27,5750.00,Cancelled,10026,sup1009
PO0148,2026-05-28,5750.00,Pending,10038,sup1010
PO0149,2026-05-29,3750.00,Pending,10008,sup1014
PO0150,2026-05-30,3750.00,Pending,10026,sup1003
PO0151,2026-05-31,3500.00,Cancelled,10032,sup1004
PO0152,2026-06-01,4500.00,Completed,10020,sup1013
PO0153,2026-06-02,2500.00,Pending,10040,sup1010
PO0154,2026-06-03,2500.00,Completed,10002,sup1013
PO0155,2026-06-04,4750.00,Pending,10026,sup1009
PO0156,2026-06-05,5750.00,Pending,10014,sup1003
PO0157,2026-06-06,5000.00,Cancelled,10014,sup1007
PO0158,2026-06-07,5500.00,Cancelled,10002,sup1005
PO0159,2026-06-08,1500.00,Completed,10032,sup1005
PO0160,2026-06-09,1500.00,Cancelled,10020,sup1011
PO0161,2026-06-10,3250.00,Completed,10038,sup1004
PO0162,2026-06-11,3500.00,Pending,10008,sup1007
PO0163,2026-06-12,4250.00,Pending,10040,sup1001
PO0164,2026-06-13,2250.00,Pending,10032,sup1002
PO0165,2026-06-14,2750.00,Completed,10020,sup1006
PO0166,2026-06-15,4750.00,Pending,10032,sup1014
PO0167,2026-06-16,5500.00,Pending,10038,sup1003
PO0168,2026-06-17,3250.00,Cancelled,10038,sup1002
PO0169,2026-06-18,5750.00,Cancelled,10038,sup1010
PO0170,2026-06-19,4750.00,Cancelled,10008,sup1013
PO0171,2026-06-20,5750.00,Completed,10040,sup1008
PO0172,2026-06-21,4000.00,Cancelled,10008,sup1006
PO0173,2026-06-22,1750.00,Pending,10038,sup1015
PO0174,2026-06-23,4000.00,Cancelled,10038,sup1008
PO0175,2026-06-24,3500.00,Pending,10014,sup1013
PO0176,2026-06-25,3250.00,Pending,10040,sup1006
PO0177,2026-06-26,1250.00,Cancelled,10008,sup1003
PO0178,2026-06-27,4250.00,Pending,10020,sup1009
PO0179,2026-06-28,5000.00,Completed,10040,sup1004
PO0180,2026-06-29,4250.00,Pending,10002,sup1011
PO0181,2026-06-30,1000.00,Cancelled,10002,sup1009
PO0182,2026-07-01,4500.00,Cancelled,10020,sup1013
PO0183,2026-07-02,3000.00,Completed,10038,sup1005
PO0184,2026-07-03,5500.00,Completed,10038,sup1001
PO0185,2026-07-04,3500.00,Pending,10040,sup1015
PO0186,2026-07-05,5750.00,Completed,10026,sup1011
PO0187,2026-07-06,3500.00,Cancelled,10032,sup1006
PO0188,2026-07-07,5000.00,Completed,10026,sup1006
PO0189,2026-07-08,5000.00,Completed,10020,sup1014
PO0190,2026-07-09,2750.00,Pending,10002,sup1008
PO0191,2026-07-10,5000.00,Pending,10040,sup1002
PO0192,2026-07-11,3750.00,Completed,10014,sup1012
PO0193,2026-07-12,3250.00,Completed,10014,sup1005
PO0194,2026-07-13,5000.00,Completed,10040,sup1007
PO0195,2026-07-14,2500.00,Cancelled,10014,sup1009
PO0196,2026-07-15,2750.00,Pending,10014,sup1013
PO0197,2026-07-16,4500.00,Pending,10002,sup1007
PO0198,2026-07-17,5000.00,Completed,10038,sup1001
PO0199,2026-07-18,4500.00,Completed,10008,sup1011
PO0200,2026-07-19,1250.00,Pending,10014,sup1009
PO0201,2026-07-20,3000.00,Completed,10002,sup1004
PO0202,2026-07-21,1250.00,Completed,10026,sup1004
PO0203,2026-07-22,1750.00,Completed,10002,sup1010
PO0204,2026-07-23,3750.00,Completed,10014,sup1005
PO0205,2026-07-24,4000.00,Pending,10020,sup1010
PO0206,2026-07-25,5500.00,Cancelled,10008,sup1010
PO0207,2026-07-26,5750.00,Completed,10026,sup1004
PO0208,2026-07-27,2750.00,Completed,10020,sup1005
PO0209,2026-07-28,2250.00,Completed,10032,sup1015
PO0210,2026-07-29,5500.00,Cancelled,10014,sup1012
PO0211,2026-07-30,3750.00,Cancelled,10002,sup1012
PO0212,2026-07-31,4000.00,Pending,10038,sup1015
PO0213,2026-08-01,1000.00,Pending,10038,sup1001
PO0214,2026-08-02,2000.00,Pending,10040,sup1007
PO0215,2026-08-03,6000.00,Completed,10038,sup1010
PO0216,2026-08-04,5000.00,Pending,10008,sup1013
PO0217,2026-08-05,6000.00,Completed,10038,sup1007
PO0218,2026-08-06,2500.00,Completed,10038,sup1013
PO0219,2026-08-07,5000.00,Cancelled,10026,sup1007
PO0220,2026-08-08,4750.00,Pending,10020,sup1009
PO0221,2026-08-09,2000.00,Pending,10032,sup1012
PO0222,2026-08-10,1000.00,Pending,10014,sup1002
PO0223,2026-08-11,2250.00,Pending,10014,sup1015
PO0224,2026-08-12,4750.00,Cancelled,10008,sup1015
PO0225,2026-08-13,2500.00,Completed,10002,sup1012
PO0226,2026-08-14,1750.00,Pending,10038,sup1014
PO0227,2026-08-15,5500.00,Completed,10038,sup1002
PO0228,2026-08-16,5250.00,Completed,10002,sup1013
PO0229,2026-08-17,2750.00,Pending,10038,sup1011
PO0230,2026-08-18,4250.00,Cancelled,10008,sup1004
PO0231,2026-08-19,5000.00,Pending,10014,sup1001
PO0232,2026-08-20,4500.00,Completed,10026,sup1010
PO0233,2026-08-21,1750.00,Completed,10026,sup1015
PO0234,2026-08-22,3750.00,Pending,10020,sup1007
PO0235,2026-08-23,4500.00,Pending,10032,sup1012
PO0236,2026-08-24,5500.00,Cancelled,10040,sup1012
PO0237,2026-08-25,3750.00,Completed,10014,sup1014
PO0238,2026-08-26,1250.00,Cancelled,10032,sup1003
PO0239,2026-08-27,4250.00,Completed,10038,sup1007
PO0240,2026-08-28,2500.00,Pending,10026,sup1005
PO0241,2026-08-29,1750.00,Cancelled,10014,sup1010
PO0242,2026-08-30,3750.00,Completed,10040,sup1015
PO0243,2026-08-31,2250.00,Cancelled,10014,sup1001
PO0244,2026-09-01,5000.00,Cancelled,10002,sup1004
PO0245,2026-09-02,4500.00,Cancelled,10040,sup1004
PO0246,2026-09-03,3500.00,Completed,10026,sup1011
PO0247,2026-09-04,2750.00,Cancelled,10002,sup1009
PO0248,2026-09-05,3500.00,Pending,10040,sup1002
PO0249,2026-09-06,4250.00,Pending,10002,sup1011
PO0250,2026-09-07,1000.00,Completed,10014,sup1012
PO0251,2026-09-08,1000.00,Completed,10014,sup1006
PO0252,2026-09-09,1500.00,Cancelled,10008,sup1008
PO0253,2026-09-10,3250.00,Cancelled,10020,sup1013
PO0254,2026-09-11,5000.00,Completed,10020,sup1001
PO0255,2026-09-12,1750.00,Completed,10008,sup1006
PO0256,2026-09-13,5500.00,Cancelled,10040,sup1003
PO0257,2026-09-14,3250.00,Completed,10020,sup1015
PO0258,2026-09-15,4750.00,Cancelled,10008,sup1002
PO0259,2026-09-16,2750.00,Cancelled,10002,sup1013
PO0260,2026-09-17,2500.00,Pending,10020,sup1007
PO0261,2026-09-18,5750.00,Pending,10032,sup1014
PO0262,2026-09-19,4750.00,Cancelled,10032,sup1013
PO0263,2026-09-20,6000.00,Pending,10026,sup1008
PO0264,2026-09-21,1000.00,Cancelled,10014,sup1007
PO0265,2026-09-22,1000.00,Pending,10038,sup1014
PO0266,2026-09-23,3250.00,Cancelled,10026,sup1001
PO0267,2026-09-24,5500.00,Pending,10014,sup1003
PO0268,2026-09-25,1500.00,Cancelled,10026,sup1005
PO0269,2026-09-26,2750.00,Completed,10032,sup1003
PO0270,2026-09-27,1250.00,Cancelled,10032,sup1009
PO0271,2026-09-28,6000.00,Cancelled,10032,sup1010
PO0272,2026-09-29,5500.00,Pending,10032,sup1008
PO0273,2026-09-30,2500.00,Completed,10002,sup1005
PO0274,2026-10-01,4750.00,Pending,10020,sup1007
PO0275,2026-10-02,4000.00,Pending,10040,sup1005
PO0276,2026-10-03,1000.00,Pending,10038,sup1010
PO0277,2026-10-04,3750.00,Pending,10014,sup1001
PO0278,2026-10-05,4000.00,Completed,10038,sup1011
PO0279,2026-10-06,1250.00,Cancelled,10008,sup1010
PO0280,2026-10-07,4250.00,Pending,10020,sup1013
PO0281,2026-10-08,3250.00,Pending,10002,sup1015
PO0282,2026-10-09,5250.00,Pending,10002,sup1007
PO0283,2026-10-10,1000.00,Pending,10040,sup1013
PO0284,2026-10-11,1250.00,Pending,10002,sup1012
PO0285,2026-10-12,1750.00,Completed,10038,sup1010
PO0286,2026-10-13,3000.00,Cancelled,10032,sup1010
PO0287,2026-10-14,5000.00,Cancelled,10038,sup1004
PO0288,2026-10-15,3500.00,Pending,10002,sup1005
PO0289,2026-10-16,3000.00,Completed,10032,sup1009
PO0290,2026-10-17,3250.00,Pending,10038,sup1010
PO0291,2026-10-18,2500.00,Pending,10002,sup1014
PO0292,2026-10-19,4000.00,Completed,10020,sup1011
PO0293,2026-10-20,3750.00,Completed,10002,sup1009
PO0294,2026-10-21,4000.00,Completed,10002,sup1006
PO0295,2026-10-22,1500.00,Completed,10008,sup1005
PO0296,2026-10-23,4500.00,Cancelled,10014,sup1008
PO0297,2026-10-24,5500.00,Completed,10014,sup1015
PO0298,2026-10-25,3250.00,Completed,10032,sup1012
PO0299,2026-10-26,2250.00,Cancelled,10008,sup1012
PO0300,2026-10-27,4250.00,Completed,10026,sup1005
PO0301,2026-10-28,4000.00,Completed,10014,sup1010
PO0302,2026-10-29,2500.00,Cancelled,10014,sup1014
PO0303,2026-10-30,3750.00,Completed,10032,sup1007
PO0304,2026-10-31,4250.00,Pending,10020,sup1012
PO0305,2026-11-01,1250.00,Pending,10014,sup1005
PO0306,2026-11-02,4250.00,Cancelled,10040,sup1001
PO0307,2026-11-03,5250.00,Pending,10020,sup1009
PO0308,2026-11-04,5500.00,Cancelled,10026,sup1010
PO0309,2026-11-05,2750.00,Pending,10002,sup1012
PO0310,2026-11-06,1750.00,Cancelled,10014,sup1006
PO0311,2026-11-07,2000.00,Completed,10014,sup1007
PO0312,2026-11-08,5250.00,Pending,10014,sup1011
PO0313,2026-11-09,2250.00,Cancelled,10008,sup1006
PO0314,2026-11-10,2750.00,Completed,10020,sup1003
PO0315,2026-11-11,5500.00,Cancelled,10020,sup1013
PO0316,2026-11-12,2250.00,Completed,10040,sup1005
PO0317,2026-11-13,4000.00,Completed,10008,sup1009
PO0318,2026-11-14,3500.00,Completed,10038,sup1011
PO0319,2026-11-15,5500.00,Pending,10032,sup1008
PO0320,2026-11-16,2250.00,Pending,10002,sup1001
PO0321,2026-11-17,3500.00,Cancelled,10002,sup1002
PO0322,2026-11-18,6000.00,Cancelled,10014,sup1009
PO0323,2026-11-19,5500.00,Completed,10032,sup1014
PO0324,2026-11-20,1250.00,Completed,10026,sup1011
PO0325,2026-11-21,1250.00,Pending,10026,sup1003
PO0326,2026-11-22,5000.00,Pending,10026,sup1010
PO0327,2026-11-23,1000.00,Cancelled,10038,sup1003
PO0328,2026-11-24,5500.00,Pending,10002,sup1010
PO0329,2026-11-25,2500.00,Pending,10038,sup1007
PO0330,2026-11-26,5500.00,Cancelled,10032,sup1008
PO0331,2026-11-27,1000.00,Cancelled,10040,sup1003
PO0332,2026-11-28,5750.00,Cancelled,10040,sup1006
PO0333,2026-11-29,2750.00,Pending,10038,sup1015
PO0334,2026-11-30,3500.00,Completed,10008,sup1012
PO0335,2026-12-01,2750.00,Cancelled,10020,sup1004
PO0336,2026-12-02,4000.00,Pending,10002,sup1001
PO0337,2026-12-03,3000.00,Cancelled,10040,sup1015
PO0338,2026-12-04,2250.00,Pending,10026,sup1014
PO0339,2026-12-05,6000.00,Completed,10040,sup1015
PO0340,2026-12-06,3000.00,Pending,10038,sup1004
PO0341,2026-12-07,5750.00,Completed,10008,sup1008
PO0342,2026-12-08,3500.00,Pending,10040,sup1013
PO0343,2026-12-09,2000.00,Completed,10008,sup1015
PO0344,2026-12-10,1750.00,Cancelled,10026,sup1005
PO0345,2026-12-11,5250.00,Completed,10040,sup1007
PO0346,2026-12-12,1750.00,Pending,10032,sup1010
PO0347,2026-12-13,3250.00,Pending,10002,sup1013
PO0348,2026-12-14,2250.00,Completed,10032,sup1015
PO0349,2026-12-15,4000.00,Completed,10038,sup1001
PO0350,2026-12-16,1000.00,Cancelled,10002,sup1010
