MenuID,IngredientID,Quantity
mu0026,ing004,3.9
mu0053,ing108,3.8
mu0037,ing038,4.6
mu0075,ing064,2.3
mu0023,ing115,2.4
mu0053,ing043,1.1
mu0047,ing049,4.8
mu0072,ing075,3
mu0042,ing072,4.8
mu0041,ing053,4.7
mu0054,ing065,0.7
mu0047,ing090,2
mu0026,ing017,1.9
mu0009,ing093,2.9
mu0015,ing002,1.6
mu0029,ing113,3.4
mu0058,ing003,1
mu0066,ing039,2.3
mu0008,ing086,1.5
mu0018,ing093,1.6
mu0033,ing050,2.2
mu0011,ing015,2.6
mu0016,ing087,1
mu0047,ing037,0.8
mu0044,ing023,1.1
mu0058,ing125,3.9
mu0068,ing047,2.9
mu0048,ing125,3.5
mu0017,ing121,4.4
mu0050,ing038,4.9
mu0054,ing006,3.7
mu0012,ing050,1
mu0007,ing078,2.2
mu0059,ing043,2.7
mu0064,ing036,4
mu0031,ing019,4.2
mu0067,ing044,2
mu0069,ing010,4.3
mu0050,ing102,4.9
mu0019,ing043,2.7
mu0015,ing103,4.9
mu0040,ing119,3.5
mu0059,ing038,2
mu0061,ing084,4.1
mu0052,ing010,3.6
mu0042,ing039,2.5
mu0019,ing102,1.7
mu0009,ing050,2.3
mu0034,ing065,4.8
mu0059,ing021,3.6
mu0062,ing033,2.4
mu0043,ing026,3.3
mu0015,ing037,0.9
mu0008,ing005,2.2
mu0056,ing028,3.1
mu0064,ing117,0.5
mu0049,ing077,1
mu0031,ing118,3.8
mu0037,ing125,4.7
