supplier_id,ingredient_id,supplier_price,lead_time_days,is_preferred
sup1008,ing0033,275.78,1,1
sup1014,ing0084,189.53,2,0
sup1001,ing0122,258.92,2,0
sup1001,ing0016,31.65,3,1
sup1010,ing0028,18.93,4,1
sup1008,ing0083,145.44,5,0
sup1007,ing0056,247.2,4,0
sup1005,ing0053,181.36,5,1
sup1012,ing0014,212.13,5,1
sup1010,ing0008,65.86,1,0
sup1013,ing0002,43.33,3,0
sup1004,ing0089,35.12,1,0
sup1008,ing0073,276.41,3,0
sup1014,ing0117,128.27,2,1
sup1001,ing0055,71.48,1,0
sup1008,ing0102,266.6,3,0
sup1002,ing0032,183.77,5,1
sup1004,ing0093,152.32,1,1
sup1012,ing0035,288.5,4,0
sup1014,ing0093,94.5,5,1
sup1014,ing0032,298.1,5,1
sup1006,ing0063,16.19,5,0
sup1001,ing0082,228.52,5,0
sup1009,ing0027,143.08,4,0
sup1009,ing0105,83.77,5,1
sup1008,ing0098,244.91,2,0
sup1002,ing0023,114.22,2,0
sup1003,ing0047,36.57,1,0
sup1011,ing0092,236.67,4,0
sup1007,ing0070,272.52,1,1
sup1011,ing0091,182.43,5,1
sup1001,ing0118,256.04,5,0
sup1003,ing0039,91.85,5,0
sup1009,ing0031,237.68,3,1
sup1001,ing0101,34.05,4,1
sup1002,ing0104,283.23,4,1
sup1004,ing0043,195.95,5,1
sup1003,ing0095,253.51,4,0
sup1001,ing0011,289.07,4,0
sup1001,ing0065,217.94,4,1
sup1015,ing0082,262.66,2,0
sup1008,ing0052,274.48,5,1
sup1011,ing0039,112.85,2,0
sup1005,ing0096,83.01,3,1
sup1002,ing0038,233.6,2,0
sup1012,ing0079,272.51,3,1
sup1001,ing0060,40.58,4,1
sup1012,ing0059,261.55,4,0
sup1014,ing0094,252.01,1,0
sup1012,ing0055,279.15,1,1
sup1002,ing0021,48.32,3,1
sup1009,ing0079,157.92,4,1
sup1009,ing0095,200.05,2,0
sup1002,ing0108,133.9,3,1
sup1006,ing0067,136.55,1,1
sup1007,ing0111,104.74,1,1
sup1003,ing0086,258.83,4,0
sup1003,ing0088,143.84,5,0
sup1002,ing0007,289.05,3,0
sup1013,ing0046,68.98,1,0
sup1012,ing0005,26.55,3,1
sup1010,ing0085,66.39,4,1
sup1005,ing0072,203.65,3,1
sup1005,ing0016,278.15,4,1
sup1012,ing0119,148.06,2,1
sup1006,ing0072,87.16,3,1
sup1006,ing0010,236.32,2,1
sup1003,ing0059,166.98,5,0
sup1004,ing0022,268.79,4,0
sup1013,ing0099,222.09,1,0
sup1004,ing0122,163.77,2,0
sup1007,ing0079,269.87,1,1
sup1015,ing0125,113.6,1,0
sup1011,ing0053,292.41,4,0
sup1014,ing0097,242.18,1,0
sup1010,ing0121,253.99,4,1
sup1012,ing0110,65.09,3,1
sup1005,ing0031,258.16,1,0
sup1004,ing0124,94.11,1,0
sup1008,ing0012,172.76,3,0
sup1006,ing0008,24.7,4,0
sup1008,ing0065,247.69,3,0
sup1009,ing0070,256.41,5,1
sup1005,ing0037,44.99,5,0
sup1010,ing0091,171.11,4,1
sup1013,ing0021,207.39,4,1
sup1010,ing0113,81.27,5,1
sup1011,ing0085,229.14,5,1
sup1002,ing0010,60.58,5,1
sup1009,ing0021,95.4,4,0
sup1015,ing0110,164.73,5,1
sup1002,ing0031,218.17,2,1
sup1007,ing0034,254.49,2,0
sup1010,ing0078,109.36,3,0
sup1002,ing0019,183.22,5,1
sup1012,ing0124,44.38,3,0
sup1008,ing0077,223.87,5,1
sup1003,ing0017,201.53,2,1
sup1005,ing0107,120.95,2,1
sup1014,ing0116,119.83,3,1
sup1005,ing0104,239.84,4,0
sup1011,ing0086,172.15,5,1
sup1014,ing0082,261.66,5,0
sup1003,ing0096,115.16,2,1
sup1012,ing0092,12.6,1,0
sup1006,ing0083,115.89,5,1
sup1015,ing0031,104.78,2,0
sup1010,ing0052,236.18,4,0
sup1001,ing0119,210.85,1,1
sup1014,ing0033,237.73,4,1
sup1015,ing0024,198.95,5,1
sup1001,ing0064,186.15,3,0
sup1001,ing0037,217.99,2,0
sup1015,ing0096,280.2,4,1
sup1001,ing0066,164.28,4,0
sup1006,ing0005,14.14,2,1
sup1012,ing0107,118.51,3,0
sup1001,ing0040,270.27,2,1
sup1009,ing0094,136.8,2,0
sup1005,ing0040,248.03,1,1
sup1006,ing0023,31.25,2,0
sup1007,ing0110,170.85,4,0
sup1005,ing0106,100.65,3,0
sup1006,ing0075,135.11,5,1
sup1002,ing0081,258.1,3,1
sup1013,ing0059,45.55,2,0
sup1011,ing0034,175.45,2,0
sup1013,ing0029,202.06,2,0
sup1008,ing0108,203.79,3,0
sup1009,ing0096,106.19,2,1
sup1005,ing0073,90.95,3,1
sup1001,ing0121,235.33,5,1
sup1003,ing0006,232.06,1,1
sup1015,ing0083,95.74,4,0
sup1007,ing0049,262.41,4,1
sup1003,ing0035,131.86,4,0
sup1003,ing0065,111.59,3,0
sup1013,ing0117,158.16,2,1
sup1014,ing0016,142.38,1,1
sup1007,ing0125,217.82,5,1
sup1008,ing0111,211.8,2,1
sup1015,ing0077,160.08,5,1
sup1004,ing0092,48.08,1,0
sup1013,ing0064,154.53,2,0
sup1004,ing0086,57.27,3,0
sup1007,ing0120,103.84,1,0
sup1011,ing0004,275.83,1,1
sup1006,ing0025,10.33,3,1
sup1005,ing0076,121.31,5,0
sup1009,ing0111,192.38,4,1
sup1003,ing0090,114.18,2,0
sup1011,ing0026,194.35,4,1
sup1005,ing0068,235.51,5,1
sup1012,ing0004,47.01,2,0
sup1014,ing0002,254.48,2,1
sup1003,ing0011,267.74,4,0
sup1010,ing0125,202.94,2,0
sup1009,ing0107,134.03,5,1
sup1012,ing0071,143.21,2,1
sup1008,ing0115,91.12,3,0
sup1014,ing0029,77.91,2,1
sup1003,ing0085,184.78,1,0
sup1011,ing0090,189.04,2,1
sup1015,ing0027,150.95,2,0
sup1008,ing0049,26.91,3,0
sup1006,ing0093,175.29,1,0
sup1012,ing0040,97.63,3,0
sup1006,ing0051,277.76,4,1
sup1014,ing0079,214.03,5,1
sup1015,ing0012,297.89,3,1
sup1013,ing0058,114.73,4,1
sup1009,ing0006,45.81,5,1
sup1014,ing0110,30.95,2,0
sup1007,ing0052,185.63,3,1
sup1007,ing0103,256.67,2,1
sup1009,ing0117,20.31,2,0
sup1005,ing0089,298.28,2,1
sup1009,ing0118,53.05,5,1
sup1011,ing0067,76.69,5,1
sup1013,ing0107,158.29,2,1
sup1006,ing0089,112.07,4,0
sup1010,ing0081,178.76,1,0
sup1009,ing0053,173.08,1,0
sup1004,ing0063,141.27,3,1
sup1014,ing0065,19.16,5,0
sup1009,ing0092,220.82,4,1
sup1014,ing0007,104.54,3,1
sup1014,ing0072,228.84,2,1
sup1010,ing0103,272.3,2,1
sup1004,ing0106,78.21,3,0
sup1012,ing0082,107,3,1
sup1007,ing0012,269.01,4,1
sup1008,ing0097,278.8,5,1
sup1001,ing0090,36.77,1,1
sup1009,ing0005,172.3,5,0
sup1012,ing0063,243.33,2,0
sup1007,ing0002,128.14,5,0
sup1010,ing0003,245.79,3,0
sup1004,ing0005,259.14,3,1
sup1008,ing0066,141.39,4,1
sup1006,ing0012,36.37,1,1
sup1008,ing0013,13.16,2,1
sup1009,ing0123,239.22,2,0
sup1011,ing0080,57.68,2,1
sup1006,ing0100,192.13,4,1
sup1014,ing0050,50.21,1,1
sup1010,ing0074,133.8,3,1
sup1005,ing0024,141.51,4,0
sup1008,ing0034,225.7,1,0
sup1001,ing0014,91.27,1,0
sup1010,ing0082,279.27,1,0
sup1013,ing0112,36.35,2,1
sup1012,ing0073,82.66,5,0
sup1014,ing0024,115.68,5,1
sup1006,ing0071,109.9,4,1
sup1004,ing0041,131.87,4,0
sup1013,ing0033,208.14,4,0
sup1012,ing0105,277.19,2,0
sup1015,ing0043,172.66,3,1
sup1013,ing0108,204.4,5,0
sup1010,ing0037,210.01,5,0
sup1004,ing0101,219.93,5,1
sup1004,ing0111,193,4,1
sup1006,ing0092,284.96,4,1
sup1008,ing0019,257.9,5,1
sup1012,ing0018,98.26,2,1
sup1005,ing0075,148.19,1,1
sup1014,ing0068,83.57,1,1
sup1011,ing0084,121.31,5,0
sup1014,ing0030,119.48,3,0
sup1002,ing0050,253.66,4,1
sup1009,ing0002,271.62,2,1
sup1011,ing0112,116.98,5,0
sup1008,ing0124,241.48,5,0
sup1012,ing0013,98.34,5,1
sup1001,ing0053,246.08,3,1
sup1002,ing0115,151.87,3,0
sup1007,ing0124,10.29,4,0
sup1003,ing0008,91.66,3,1
sup1001,ing0095,284.93,5,1
sup1004,ing0024,225.09,2,0
sup1002,ing0056,216.18,4,0
sup1013,ing0104,207.12,2,1
sup1012,ing0085,178.77,3,0
sup1005,ing0034,89.76,5,1
sup1006,ing0124,51.07,2,0
sup1015,ing0060,209.46,5,0
sup1002,ing0110,115.69,5,1
sup1010,ing0061,73.46,4,0
sup1014,ing0013,34.19,3,0
sup1014,ing0058,245.75,4,1
sup1005,ing0070,43.42,1,1
sup1012,ing0091,226.77,4,0
sup1007,ing0041,265.22,1,0
sup1003,ing0078,205.79,4,0
sup1006,ing0052,273.05,3,0
sup1008,ing0020,279.68,1,1
sup1009,ing0023,230.58,3,1
sup1013,ing0103,143.35,2,0
sup1003,ing0079,215.03,5,1
sup1014,ing0101,74.86,4,1
sup1006,ing0003,228.45,3,1
sup1012,ing0043,197.65,5,1
sup1015,ing0094,69.75,2,0
sup1010,ing0013,124.8,3,1
sup1001,ing0022,264,3,0
sup1011,ing0049,36.66,2,1
sup1015,ing0088,229.15,4,0
sup1015,ing0105,258.23,1,1
sup1002,ing0063,76.53,3,0
sup1002,ing0091,158.55,5,1
sup1011,ing0093,59.83,5,1
sup1005,ing0028,161.08,5,1
sup1010,ing0119,155.6,5,1
sup1014,ing0106,233.1,1,0
sup1005,ing0051,39.18,1,1
sup1006,ing0077,86.74,1,0
sup1004,ing0098,111.08,1,0
sup1014,ing0115,278.11,2,1
sup1001,ing0070,222.17,1,1
sup1012,ing0094,235.1,1,0
sup1003,ing0010,92.54,1,1
sup1012,ing0036,22.21,3,1
sup1013,ing0056,91.94,5,0
sup1006,ing0096,196.62,5,0
sup1004,ing0014,114.66,2,0
sup1012,ing0113,158.34,4,0
sup1001,ing0009,136.31,4,1
sup1001,ing0107,288.97,3,0
sup1003,ing0024,256.63,4,0
sup1007,ing0021,45.35,1,1
sup1011,ing0029,48.04,5,0
sup1002,ing0083,107.72,5,0
sup1004,ing0077,198.92,1,1
sup1013,ing0122,68.34,5,1
sup1004,ing0071,272.75,5,1
sup1002,ing0093,150.72,1,1
sup1015,ing0118,160.88,2,1
sup1012,ing0058,173.33,1,0
sup1004,ing0116,136.09,1,0
sup1012,ing0027,69.32,3,1
sup1001,ing0083,199.27,4,1
sup1006,ing0060,211.77,5,1
sup1006,ing0122,20.19,1,1
sup1011,ing0118,78.38,3,0
sup1002,ing0092,76.04,2,1
sup1005,ing0025,144.84,1,0
sup1015,ing0049,198.98,4,1
sup1008,ing0053,192.07,2,1
sup1011,ing0028,185.35,4,1
sup1011,ing0058,114.69,5,1
sup1010,ing0034,41.39,5,1
sup1005,ing0064,249.79,2,1
sup1008,ing0015,178.51,4,1
sup1001,ing0104,53.53,4,1
sup1014,ing0005,109.91,2,0
sup1004,ing0087,101.8,5,1
sup1009,ing0028,184.85,4,0
sup1011,ing0065,14.17,2,0
sup1004,ing0061,46.57,3,0
sup1002,ing0016,27.84,2,1
sup1007,ing0082,256.68,1,1
sup1013,ing0045,52.45,1,1
sup1001,ing0088,228.63,5,1
sup1010,ing0016,19.48,1,1
sup1006,ing0044,87.41,4,0
sup1007,ing0057,30.49,3,0
sup1002,ing0055,137.47,1,1
sup1001,ing0054,99.48,2,1
sup1001,ing0073,103.95,3,0
sup1010,ing0107,151.43,1,0
sup1013,ing0010,76.68,5,0
sup1006,ing0086,69.05,2,0
sup1013,ing0072,184.61,2,0
sup1003,ing0100,182.08,1,1
sup1002,ing0098,213.6,2,1
sup1004,ing0051,294.01,3,1
sup1008,ing0076,267.45,5,0
sup1013,ing0020,109.49,3,1
sup1009,ing0038,19.02,5,1
sup1012,ing0052,115.16,3,1
sup1010,ing0020,31.83,3,0
sup1005,ing0044,200.27,2,0
sup1011,ing0114,228.45,3,1
sup1002,ing0076,299.38,4,0
sup1004,ing0079,117.05,4,1
sup1001,ing0056,233.87,1,1
sup1004,ing0108,132.35,3,0
sup1005,ing0120,128.84,4,1
sup1001,ing0032,158.58,3,0
sup1012,ing0081,84.98,1,1
sup1006,ing0031,142.23,1,1
sup1008,ing0114,201.37,3,1
sup1005,ing0009,59.5,3,0
sup1008,ing0120,267.11,1,0
sup1014,ing0092,44.01,2,0
sup1010,ing0032,46.45,3,1
sup1012,ing0048,141.6,1,0
sup1014,ing0023,13.72,4,1
sup1004,ing0010,178.91,3,0
sup1001,ing0092,75.65,5,1
sup1014,ing0060,290.17,2,0
sup1008,ing0119,88.96,2,1
sup1012,ing0025,32.91,2,1
sup1004,ing0035,107.76,3,1
sup1005,ing0008,293.34,4,1
sup1015,ing0119,184.1,4,1
sup1009,ing0062,161.22,4,0
sup1006,ing0047,45.87,3,0
sup1008,ing0093,89.59,2,1
sup1001,ing0026,143.57,1,0
sup1007,ing0093,204.98,5,0
sup1005,ing0059,106.08,1,1
sup1014,ing0089,187.48,2,1
sup1010,ing0118,290.76,2,0
sup1012,ing0050,287.88,1,1
sup1011,ing0101,240.77,4,1
sup1009,ing0120,178.59,3,1
sup1003,ing0027,53.23,4,0
sup1013,ing0069,294.4,3,0
sup1011,ing0109,160.67,1,0
sup1001,ing0085,153.48,2,1
sup1007,ing0005,111.16,1,0
sup1006,ing0056,168.2,3,0
sup1003,ing0049,148.05,1,0
sup1011,ing0096,267.49,1,1
sup1003,ing0030,66.14,5,1
sup1007,ing0109,217.65,3,0
sup1007,ing0030,167.66,4,0
sup1008,ing0048,258.22,5,1
sup1015,ing0056,163.35,2,0
sup1008,ing0107,148.18,2,0
sup1014,ing0073,86.13,5,1
sup1014,ing0099,29,1,0
sup1001,ing0068,102.56,5,0
sup1001,ing0015,136.26,3,0
sup1008,ing0038,225.61,4,1
sup1003,ing0123,134.28,1,1
sup1001,ing0027,125.05,1,1
sup1013,ing0035,257.99,4,1
sup1004,ing0052,109.94,5,1
sup1002,ing0061,27.84,2,1
sup1014,ing0035,181.92,2,0
sup1007,ing0072,78.75,5,1
sup1006,ing0013,105.42,2,1
sup1001,ing0103,15.92,1,1
sup1009,ing0078,245.7,3,0
sup1005,ing0019,78.57,5,0
sup1012,ing0078,56.83,3,0
sup1006,ing0034,185.46,5,1
sup1013,ing0019,16.64,5,1
sup1010,ing0088,134.08,3,0
sup1009,ing0114,227.87,2,0
sup1002,ing0120,66.37,5,0
sup1008,ing0061,264.51,1,1
sup1004,ing0056,17.36,1,0
sup1004,ing0078,25.61,3,0
sup1005,ing0003,242.15,5,0
sup1006,ing0036,62.85,3,0
sup1007,ing0040,168.25,5,1
sup1006,ing0002,159.86,2,1
sup1002,ing0030,26.25,5,1
sup1013,ing0004,290.45,3,0
sup1003,ing0077,198.41,3,0
sup1006,ing0026,56.59,4,1
sup1014,ing0066,34.49,2,0
sup1001,ing0094,138.7,3,0
sup1009,ing0064,63.56,1,0
sup1009,ing0049,253.21,4,0
sup1005,ing0121,18.25,1,0
sup1009,ing0108,149.54,4,0
sup1002,ing0036,233.08,4,0
sup1001,ing0023,260,1,1
sup1013,ing0076,191.78,4,0
sup1003,ing0111,253.81,5,0
sup1005,ing0033,96.9,5,1
sup1013,ing0096,282.03,1,1
sup1009,ing0029,51.18,2,0
sup1014,ing0047,32.78,3,0
sup1014,ing0111,54.81,3,1
sup1012,ing0051,264.77,3,0
sup1009,ing0015,114.6,2,0
sup1006,ing0017,16.15,1,1
sup1001,ing0036,168.88,1,1
sup1012,ing0049,54.96,1,0
sup1015,ing0030,285.35,4,1
sup1010,ing0089,208.87,4,1
sup1002,ing0033,12.33,1,1
sup1002,ing0034,61.66,2,0
sup1010,ing0108,211.71,3,0
sup1010,ing0026,265.2,2,0
sup1003,ing0089,227.82,3,1
sup1015,ing0108,139.42,5,0
sup1002,ing0053,265.6,1,0
sup1002,ing0014,72.22,5,1
sup1005,ing0049,213.13,3,1
sup1011,ing0031,231.51,4,0
sup1011,ing0043,147.31,1,1
sup1008,ing0017,99.36,4,1
sup1006,ing0028,68.59,1,1
sup1007,ing0078,288.8,4,1
sup1003,ing0053,48.89,5,0
sup1004,ing0047,112.33,4,1
sup1002,ing0109,175.35,1,0
sup1005,ing0054,298.46,3,1
sup1006,ing0098,247.77,4,1
sup1003,ing0018,295.49,5,0
sup1004,ing0060,167.97,1,0
sup1015,ing0061,234.57,1,0
sup1014,ing0051,155.78,5,0
sup1002,ing0086,171.78,2,1
sup1012,ing0065,197.17,5,0
sup1012,ing0089,173.36,2,1
sup1010,ing0042,117.42,1,1
sup1007,ing0019,164.1,4,0
sup1009,ing0091,16.79,5,0
sup1002,ing0073,114.89,1,1
sup1015,ing0005,195.33,2,1
sup1001,ing0074,294.97,3,0
sup1006,ing0102,259.86,5,0
sup1004,ing0113,173,1,1
sup1011,ing0001,51.96,2,1
sup1004,ing0120,42.37,5,0
sup1010,ing0079,132.85,5,1
sup1015,ing0081,153.65,2,0
sup1008,ing0011,48.88,2,1
sup1005,ing0095,34.45,5,1
sup1011,ing0059,50.51,2,0
sup1014,ing0036,132.18,3,1
sup1010,ing0077,97.66,4,0
sup1003,ing0040,299.58,4,1
sup1013,ing0115,132.32,2,0
sup1010,ing0039,69.96,4,1
sup1015,ing0021,271.8,5,1
sup1003,ing0036,203.89,1,0
sup1013,ing0081,44.32,2,1
sup1012,ing0057,237.08,3,1
sup1006,ing0117,206.87,2,0
sup1003,ing0057,287.31,4,1
sup1013,ing0011,195.81,2,1
sup1009,ing0022,47.82,3,0
sup1014,ing0048,260.59,2,0
sup1008,ing0026,235.33,5,1
sup1006,ing0029,288.68,5,0
sup1010,ing0076,194.55,1,0
sup1001,ing0021,175.01,4,1
sup1003,ing0062,36.26,1,0
sup1001,ing0045,98.27,1,0
sup1011,ing0046,116.23,1,0
sup1004,ing0073,275.98,1,0
sup1012,ing0060,61.83,5,1
sup1015,ing0016,42.04,5,1
sup1002,ing0071,263.21,2,1
sup1003,ing0007,213.41,5,1
sup1007,ing0011,81.96,2,1
sup1003,ing0031,187.96,5,0
sup1015,ing0124,53.46,1,1
sup1003,ing0058,17.75,3,1
sup1002,ing0099,277.61,1,0
sup1002,ing0080,16.69,5,1
sup1005,ing0048,180.89,3,1
sup1015,ing0020,294.72,3,1
sup1012,ing0084,20.76,4,0
sup1012,ing0112,212.99,1,0
sup1008,ing0090,271.34,1,0
sup1015,ing0113,234.09,4,1
sup1006,ing0061,267.93,5,1
sup1014,ing0020,25.71,1,0
sup1006,ing0078,99.04,2,0
sup1005,ing0060,98.92,2,1
sup1001,ing0048,198.8,5,0
sup1007,ing0036,85.61,1,0
sup1002,ing0048,199.14,5,0
sup1011,ing0071,108.07,4,0
sup1012,ing0108,225.62,2,0
sup1009,ing0050,96.66,1,1
sup1012,ing0074,285.72,3,1
sup1003,ing0098,76.92,5,1
sup1009,ing0026,143.9,1,1
sup1009,ing0040,191.06,4,0
sup1012,ing0123,269.47,1,1
sup1007,ing0096,72.69,4,0
sup1013,ing0102,241.2,4,1
sup1002,ing0011,244.48,3,1
sup1007,ing0117,245.72,3,1
sup1009,ing0048,245.48,3,0
sup1010,ing0099,228.13,1,0
sup1012,ing0003,294.43,3,0
sup1010,ing0015,91.98,1,0
sup1009,ing0052,241.04,4,1
sup1003,ing0026,193.35,3,1
sup1004,ing0118,249.18,5,0
sup1003,ing0071,251.78,2,1
sup1004,ing0064,115.24,2,1
sup1008,ing0110,289.38,5,1
sup1013,ing0093,299.24,5,1
sup1001,ing0050,131.73,3,1
sup1006,ing0073,287.4,2,0
sup1007,ing0033,84.17,1,0
sup1003,ing0025,81.56,3,0
sup1007,ing0042,250.41,2,0
sup1008,ing0071,185.12,4,0
sup1002,ing0078,152.92,2,1
sup1010,ing0027,168.49,2,0
sup1003,ing0038,184.6,4,1
sup1014,ing0011,179.93,1,0
sup1009,ing0003,255.51,2,1
sup1010,ing0014,241.95,2,0
sup1010,ing0115,130.75,2,1
sup1007,ing0098,130.96,5,0
sup1011,ing0069,151.37,3,0
sup1015,ing0099,159.19,4,0
sup1005,ing0084,84.26,2,1
sup1004,ing0088,293.7,3,1
sup1004,ing0104,153.23,3,1
sup1001,ing0109,247.35,2,0
sup1013,ing0032,127.12,1,0
sup1011,ing0072,264.23,2,1
sup1003,ing0084,121.7,5,1
sup1002,ing0020,179.35,3,0
sup1010,ing0053,42.97,4,0
sup1002,ing0041,219.02,1,1
sup1005,ing0092,225.63,3,1
sup1011,ing0070,156.35,2,0
sup1005,ing0077,112.89,3,0
sup1002,ing0009,268.11,5,0
sup1003,ing0001,96.55,1,0
sup1013,ing0065,171.56,5,1
sup1003,ing0125,43.19,2,0
sup1011,ing0081,54.33,1,0
sup1004,ing0040,265.33,1,1
sup1015,ing0123,274.76,5,1
sup1013,ing0015,55.03,5,1
sup1011,ing0113,123.94,4,1
sup1006,ing0030,108.99,4,1
sup1002,ing0042,114.17,1,1
sup1001,ing0072,38.54,1,1
sup1004,ing0076,36.93,5,1
sup1011,ing0009,183.55,2,1
sup1006,ing0022,88.07,4,0
sup1002,ing0079,169.56,2,0
sup1004,ing0099,182.05,1,1
sup1004,ing0006,249.37,3,1
sup1004,ing0097,100.89,1,0
sup1012,ing0042,249.18,4,1
sup1013,ing0018,185.03,3,0
sup1011,ing0045,158.55,2,0
sup1014,ing0120,100.82,3,0
sup1002,ing0075,153.64,1,0
sup1003,ing0122,181.16,3,1
sup1015,ing0121,148.57,5,1
sup1009,ing0020,168.6,4,1
sup1005,ing0007,241.74,3,1
sup1001,ing0108,256.43,3,1
sup1004,ing0048,166.18,5,0
sup1003,ing0076,198.96,5,0
sup1006,ing0042,53.22,2,1
sup1009,ing0069,93.44,3,0
sup1004,ing0072,96,4,1
sup1011,ing0082,93.61,5,0
sup1003,ing0023,192.59,3,1
sup1009,ing0124,219.61,2,0
sup1008,ing0122,51.36,3,1
sup1001,ing0012,122.54,1,0
sup1002,ing0077,68.71,1,1
sup1003,ing0012,191.11,3,1
sup1010,ing0063,113.25,2,1
sup1004,ing0007,176.12,3,1
sup1012,ing0080,185.46,5,0
sup1011,ing0019,110.15,4,0
sup1003,ing0015,25.76,3,1
sup1005,ing0125,55.84,1,1
sup1014,ing0081,226.07,1,0
sup1001,ing0116,176.45,2,1
sup1004,ing0011,51.01,3,0
sup1001,ing0115,189.33,5,0
sup1002,ing0103,40.29,3,1
sup1015,ing0035,298.22,3,1
sup1003,ing0022,170.19,1,1
sup1015,ing0097,180.56,2,0
sup1012,ing0118,271.66,5,0
sup1011,ing0075,44.15,5,1
sup1015,ing0008,178.78,3,0
sup1014,ing0022,159.81,3,0
sup1007,ing0010,177.18,2,0
sup1012,ing0070,183.85,1,0
sup1001,ing0076,67.76,1,0
sup1012,ing0017,239.27,1,1
sup1008,ing0116,43.74,4,1
sup1010,ing0087,210.7,1,1
sup1006,ing0119,228.1,3,1
sup1002,ing0119,40.41,4,0
sup1009,ing0115,20.92,3,0
sup1008,ing0096,147.21,3,0
sup1005,ing0010,210.11,1,1
sup1004,ing0001,253.1,2,1
sup1014,ing0037,215.83,5,1
sup1010,ing0096,91.97,3,0
sup1001,ing0013,259.72,5,0
sup1009,ing0012,176.37,2,0
sup1005,ing0027,109.54,1,1
sup1013,ing0006,165.51,2,1
sup1004,ing0057,251.28,1,0
sup1003,ing0034,245.21,5,0
sup1011,ing0106,222.52,3,1
sup1004,ing0003,72.69,5,0
sup1005,ing0021,162.52,3,0
sup1013,ing0077,200.8,2,1
sup1004,ing0070,236.39,1,0
sup1001,ing0087,103.49,1,1
sup1015,ing0007,36.34,2,0
sup1004,ing0018,82.18,4,1
sup1012,ing0096,190.89,1,1
sup1011,ing0095,139.16,4,0
sup1010,ing0002,116.09,3,0
sup1007,ing0017,138.22,3,1
sup1014,ing0059,48.16,4,1
sup1012,ing0029,112.95,1,0
sup1010,ing0040,255.78,2,0
sup1001,ing0028,55.55,1,0
sup1012,ing0095,125.1,5,0
sup1011,ing0033,220.99,5,0
sup1007,ing0068,203.03,1,1
sup1007,ing0085,117.06,4,1
sup1009,ing0083,66.21,4,1
sup1003,ing0069,277.92,1,0
sup1005,ing0015,174.45,1,1
sup1002,ing0044,85.56,2,1
sup1003,ing0002,288.01,1,0
sup1003,ing0119,259.79,5,0
sup1014,ing0001,295.45,5,1
sup1007,ing0067,194.83,1,0
sup1009,ing0041,11.06,3,1
sup1013,ing0090,215.67,2,0
sup1015,ing0098,75.01,5,0
sup1007,ing0014,232.72,2,0
sup1014,ing0026,65.7,5,1
