batch_id,lot_number,quantity,original_quantity,expiration_date,received_date,inventory_id
batch0087,LOT8347,60,105,2026-08-26,2026-03-03,inv0101
batch0088,LOT3916,75,130,2026-08-27,2026-03-01,inv0053
batch0089,LOT7284,80,140,2026-08-28,2026-03-02,inv0077
batch0090,LOT1542,90,150,2026-08-29,2026-03-03,inv0018
batch0091,LOT6803,50,100,2026-08-30,2026-03-01,inv0095
batch0092,LOT2476,60,110,2026-08-31,2026-03-02,inv0031
batch0093,LOT9921,45,90,2026-09-01,2026-03-03,inv0110
batch0094,LOT3158,70,120,2026-09-02,2026-03-01,inv0064
batch0095,LOT8475,65,115,2026-09-03,2026-03-02,inv0006
batch0096,LOT5290,55,100,2026-09-04,2026-03-03,inv0083
batch0097,LOT7341,60,105,2026-09-05,2026-03-01,inv0024
batch0098,LOT1689,75,130,2026-09-06,2026-03-02,inv0107
batch0099,LOT9033,80,140,2026-09-07,2026-03-03,inv0049
batch0100,LOT2764,90,150,2026-09-08,2026-03-01,inv0070
batch0101,LOT6187,50,100,2026-09-09,2026-03-02,inv0012
batch0102,LOT4502,60,110,2026-09-10,2026-03-03,inv0099
batch0103,LOT7826,45,90,2026-09-11,2026-03-01,inv0034
batch0104,LOT1395,70,120,2026-09-12,2026-03-02,inv0087
batch0105,LOT8651,65,115,2026-09-13,2026-03-03,inv0058
batch0106,LOT2947,55,100,2026-09-14,2026-03-01,inv0115
batch0107,LOT5732,60,105,2026-09-15,2026-03-02,inv0029
batch0108,LOT9064,75,130,2026-09-16,2026-03-03,inv0076
batch0109,LOT3210,80,140,2026-09-17,2026-03-01,inv0008
batch0110,LOT7488,90,150,2026-09-18,2026-03-02,inv0102
batch0111,LOT5821,50,100,2026-09-19,2026-03-03,inv0097
batch0112,LOT1394,60,110,2026-09-20,2026-03-01,inv0016
batch0113,LOT7748,45,90,2026-09-21,2026-03-02,inv0113
batch0114,LOT3207,70,120,2026-09-22,2026-03-03,inv0048
batch0115,LOT9062,65,115,2026-09-23,2026-03-01,inv0025
batch0116,LOT4813,55,100,2026-09-24,2026-03-02,inv0109
batch0117,LOT6650,60,105,2026-09-25,2026-03-03,inv0062
batch0118,LOT2198,75,130,2026-09-26,2026-03-01,inv0088
batch0119,LOT8426,80,140,2026-09-27,2026-03-02,inv0007
batch0120,LOT3574,90,150,2026-09-28,2026-03-03,inv0075
batch0121,LOT9182,50,100,2026-09-29,2026-03-01,inv0033
batch0122,LOT6029,60,110,2026-09-30,2026-03-02,inv0118
batch0123,LOT1461,45,90,2026-10-01,2026-03-03,inv0054
batch0124,LOT7738,70,120,2026-10-02,2026-03-01,inv0091
batch0125,LOT2674,65,115,2026-10-03,2026-03-02,inv0012
batch0126,LOT5097,55,100,2026-10-04,2026-03-03,inv0069
batch0127,LOT8349,60,105,2026-10-05,2026-03-01,inv0102
batch0128,LOT3912,75,130,2026-10-06,2026-03-02,inv0041
batch0129,LOT7280,80,140,2026-10-07,2026-03-03,inv0083
batch0130,LOT1548,90,150,2026-10-08,2026-03-01,inv0022
batch0131,LOT6809,50,100,2026-10-09,2026-03-02,inv0116
batch0132,LOT2482,60,110,2026-10-10,2026-03-03,inv0078
batch0133,LOT9927,45,90,2026-10-11,2026-03-01,inv0004
batch0134,LOT3165,70,120,2026-10-12,2026-03-02,inv0099
batch0135,LOT8472,65,115,2026-10-13,2026-03-03,inv0031
batch0136,LOT5294,55,100,2026-10-14,2026-03-01,inv0065
batch0137,LOT7346,60,105,2026-10-15,2026-03-02,inv0107
batch0138,LOT1683,75,130,2026-10-16,2026-03-03,inv0019
batch0139,LOT9038,80,140,2026-10-17,2026-03-01,inv0080
batch0140,LOT2761,90,150,2026-10-18,2026-03-02,inv0046
batch0141,LOT6183,50,100,2026-10-19,2026-03-03,inv0111
batch0142,LOT4507,60,110,2026-10-20,2026-03-01,inv0028
batch0143,LOT7821,45,90,2026-10-21,2026-03-02,inv0070
batch0144,LOT1399,70,120,2026-10-22,2026-03-03,inv0057
batch0145,LOT8656,65,115,2026-10-23,2026-03-01,inv0093
batch0146,LOT2941,55,100,2026-10-24,2026-03-02,inv0002
batch0147,LOT5736,60,105,2026-10-25,2026-03-03,inv0086
batch0148,LOT9068,75,130,2026-10-26,2026-03-01,inv0014
batch0149,LOT3215,80,140,2026-10-27,2026-03-02,inv0105
batch0150,LOT7482,90,150,2026-10-28,2026-03-03,inv0039
batch0151,LOT7432,50,100,2026-10-29,2026-03-01,inv0092
batch0152,LOT1856,60,110,2026-10-30,2026-03-02,inv0013
batch0153,LOT9624,45,90,2026-10-31,2026-03-03,inv0107
batch0154,LOT3187,70,120,2026-11-01,2026-03-01,inv0046
batch0155,LOT8741,65,115,2026-11-02,2026-03-02,inv0029
batch0156,LOT5263,55,100,2026-11-03,2026-03-03,inv0115
batch0157,LOT6902,60,105,2026-11-04,2026-03-01,inv0064
batch0158,LOT2478,75,130,2026-11-05,2026-03-02,inv0081
batch0159,LOT8355,80,140,2026-11-06,2026-03-03,inv0006
batch0160,LOT4021,90,150,2026-11-07,2026-03-01,inv0073
batch0161,LOT9186,50,100,2026-11-08,2026-03-02,inv0052
batch0162,LOT6034,60,110,2026-11-09,2026-03-03,inv0101
batch0163,LOT1769,45,90,2026-11-10,2026-03-01,inv0037
batch0164,LOT7823,70,120,2026-11-11,2026-03-02,inv0099
batch0165,LOT2610,65,115,2026-11-12,2026-03-03,inv0018
batch0166,LOT5349,55,100,2026-11-13,2026-03-01,inv0067
batch0167,LOT8457,60,105,2026-11-14,2026-03-02,inv0112
batch0168,LOT3921,75,130,2026-11-15,2026-03-03,inv0044
batch0169,LOT7291,80,140,2026-11-16,2026-03-01,inv0087
batch0170,LOT1682,90,150,2026-11-17,2026-03-02,inv0024
batch0171,LOT6870,50,100,2026-11-18,2026-03-03,inv0109
batch0172,LOT2498,60,110,2026-11-19,2026-03-01,inv0031
batch0173,LOT9916,45,90,2026-11-20,2026-03-02,inv0002
batch0174,LOT3151,70,120,2026-11-21,2026-03-03,inv0094
batch0175,LOT8463,65,115,2026-11-22,2026-03-01,inv0055
batch0176,LOT5287,55,100,2026-11-23,2026-03-02,inv0060
batch0177,LOT7344,60,105,2026-11-24,2026-03-03,inv0118
batch0178,LOT1688,75,130,2026-11-25,2026-03-01,inv0015
batch0179,LOT9031,80,140,2026-11-26,2026-03-02,inv0084
batch0180,LOT2768,90,150,2026-11-27,2026-03-03,inv0049
batch0181,LOT6185,50,100,2026-11-28,2026-03-01,inv0103
batch0182,LOT4501,60,110,2026-11-29,2026-03-02,inv0020
batch0183,LOT7829,45,90,2026-11-30,2026-03-03,inv0076
batch0184,LOT1392,70,120,2026-12-01,2026-03-01,inv0058
batch0185,LOT8653,65,115,2026-12-02,2026-03-02,inv0090
batch0186,LOT2946,55,100,2026-12-03,2026-03-03,inv0007
batch0187,LOT5739,60,105,2026-12-04,2026-03-01,inv0088
batch0188,LOT9061,75,130,2026-12-05,2026-03-02,inv0012
batch0189,LOT3218,80,140,2026-12-06,2026-03-03,inv0110
batch0190,LOT7485,90,150,2026-12-07,2026-03-01,inv0035
batch0191,LOT6574,50,100,2026-12-08,2026-03-02,inv0098
batch0192,LOT2386,60,110,2026-12-09,2026-03-03,inv0026
batch0193,LOT8749,45,90,2026-12-10,2026-03-01,inv0071
batch0194,LOT4123,70,120,2026-12-11,2026-03-02,inv0057
batch0195,LOT9650,65,115,2026-12-12,2026-03-03,inv0106
batch0196,LOT5291,55,100,2026-12-13,2026-03-01,inv0039
batch0197,LOT6837,60,105,2026-12-14,2026-03-02,inv0082
batch0198,LOT1475,75,130,2026-12-15,2026-03-03,inv0004
batch0199,LOT8320,80,140,2026-12-16,2026-03-01,inv0095
batch0200,LOT3956,90,150,2026-12-17,2026-03-02,inv0017
batch0201,LOT7352,50,100,2026-12-18,2026-03-03,inv0049
batch0202,LOT1826,60,110,2026-12-19,2026-03-01,inv0107
batch0203,LOT9641,45,90,2026-12-20,2026-03-02,inv0022
batch0204,LOT3198,70,120,2026-12-21,2026-03-03,inv0095
batch0205,LOT8724,65,115,2026-12-22,2026-03-01,inv0003
batch0206,LOT5286,55,100,2026-12-23,2026-03-02,inv0116
batch0207,LOT6913,60,105,2026-12-24,2026-03-03,inv0063
batch0208,LOT2471,75,130,2026-12-25,2026-03-01,inv0084
batch0209,LOT8369,80,140,2026-12-26,2026-03-02,inv0014
batch0210,LOT4015,90,150,2026-12-27,2026-03-03,inv0072
batch0211,LOT9176,50,100,2026-12-28,2026-03-01,inv0058
batch0212,LOT6039,60,110,2026-12-29,2026-03-02,inv0102
batch0213,LOT1753,45,90,2026-12-30,2026-03-03,inv0036
batch0214,LOT7814,70,120,2026-12-31,2026-03-01,inv0098
batch0215,LOT2631,65,115,2027-01-01,2026-03-02,inv0019
batch0216,LOT5337,55,100,2027-01-02,2026-03-03,inv0067
batch0217,LOT8472,60,105,2027-01-03,2026-03-01,inv0113
batch0218,LOT3926,75,130,2027-01-04,2026-03-02,inv0041
batch0219,LOT7288,80,140,2027-01-05,2026-03-03,inv0089
batch0220,LOT1692,90,150,2027-01-06,2026-03-01,inv0025
batch0221,LOT6891,50,100,2027-01-07,2026-03-02,inv0106
batch0222,LOT2485,60,110,2027-01-08,2026-03-03,inv0030
batch0223,LOT9914,45,90,2027-01-09,2026-03-01,inv0006
batch0224,LOT3147,70,120,2027-01-10,2026-03-02,inv0093
batch0225,LOT8459,65,115,2027-01-11,2026-03-03,inv0052
batch0226,LOT5278,55,100,2027-01-12,2026-03-01,inv0060
batch0227,LOT7350,60,105,2027-01-13,2026-03-02,inv0119
batch0228,LOT1671,75,130,2027-01-14,2026-03-03,inv0011
batch0229,LOT9036,80,140,2027-01-15,2026-03-01,inv0080
batch0230,LOT2754,90,150,2027-01-16,2026-03-02,inv0047
batch0231,LOT6192,50,100,2027-01-17,2026-03-03,inv0109
batch0232,LOT4516,60,110,2027-01-18,2026-03-01,inv0027
batch0233,LOT7834,45,90,2027-01-19,2026-03-02,inv0074
batch0234,LOT1388,70,120,2027-01-20,2026-03-03,inv0056
batch0235,LOT8647,65,115,2027-01-21,2026-03-01,inv0091
batch0236,LOT2935,55,100,2027-01-22,2026-03-02,inv0008
batch0237,LOT5741,60,105,2027-01-23,2026-03-03,inv0087
batch0238,LOT9059,75,130,2027-01-24,2026-03-01,inv0016
batch0239,LOT3206,80,140,2027-01-25,2026-03-02,inv0112
batch0240,LOT7493,90,150,2027-01-26,2026-03-03,inv0033
batch0241,LOT6578,50,100,2027-01-27,2026-03-01,inv0099
batch0242,LOT2379,60,110,2027-01-28,2026-03-02,inv0021
batch0243,LOT8752,45,90,2027-01-29,2026-03-03,inv0070
batch0244,LOT4136,70,120,2027-01-30,2026-03-01,inv0054
batch0245,LOT9663,65,115,2027-01-31,2026-03-02,inv0104
batch0246,LOT5280,55,100,2027-02-01,2026-03-03,inv0039
batch0247,LOT6845,60,105,2027-02-02,2026-03-01,inv0082
batch0248,LOT1467,75,130,2027-02-03,2026-03-02,inv0001
batch0249,LOT8314,80,140,2027-02-04,2026-03-03,inv0096
batch0250,LOT3962,90,150,2027-02-05,2026-03-01,inv0017
batch0251,LOT7421,50,100,2027-02-06,2026-03-02,inv0108
batch0252,LOT1893,60,110,2027-02-07,2026-03-03,inv0026
batch0253,LOT9610,45,90,2027-02-08,2026-03-01,inv0077
batch0254,LOT3172,70,120,2027-02-09,2026-03-02,inv0059
batch0255,LOT8736,65,115,2027-02-10,2026-03-03,inv0090
batch0256,LOT5214,55,100,2027-02-11,2026-03-01,inv0004
batch0257,LOT6938,60,105,2027-02-12,2026-03-02,inv0086
batch0258,LOT2483,75,130,2027-02-13,2026-03-03,inv0015
batch0259,LOT8341,80,140,2027-02-14,2026-03-01,inv0111
batch0260,LOT4057,90,150,2027-02-15,2026-03-02,inv0032
batch0261,LOT7315,50,100,2027-02-16,2026-03-03,inv0094
batch0262,LOT1842,60,110,2027-02-17,2026-03-01,inv0017
batch0263,LOT9678,45,90,2027-02-18,2026-03-02,inv0108
batch0264,LOT3129,70,120,2027-02-19,2026-03-03,inv0043
batch0265,LOT8750,65,115,2027-02-20,2026-03-01,inv0026
batch0266,LOT5298,55,100,2027-02-21,2026-03-02,inv0117
batch0267,LOT6907,60,105,2027-02-22,2026-03-03,inv0061
batch0268,LOT2456,75,130,2027-02-23,2026-03-01,inv0083
batch0269,LOT8382,80,140,2027-02-24,2026-03-02,inv0009
batch0270,LOT4064,90,150,2027-02-25,2026-03-03,inv0074
batch0271,LOT9163,50,100,2027-02-26,2026-03-01,inv0053
batch0272,LOT6025,60,110,2027-02-27,2026-03-02,inv0100
batch0273,LOT1748,45,90,2027-02-28,2026-03-03,inv0035
batch0274,LOT7830,70,120,2027-03-01,2026-03-01,inv0097
batch0275,LOT2647,65,115,2027-03-02,2026-03-02,inv0011
batch0276,LOT5369,55,100,2027-03-03,2026-03-03,inv0068
batch0277,LOT8475,60,105,2027-03-04,2026-03-01,inv0112
batch0278,LOT3918,75,130,2027-03-05,2026-03-02,inv0042
batch0279,LOT7276,80,140,2027-03-06,2026-03-03,inv0086
batch0280,LOT1689,90,150,2027-03-07,2026-03-01,inv0023
batch0281,LOT6882,50,100,2027-03-08,2026-03-02,inv0105
batch0282,LOT2493,60,110,2027-03-09,2026-03-03,inv0032
batch0283,LOT9931,45,90,2027-03-10,2026-03-01,inv0005
batch0284,LOT3140,70,120,2027-03-11,2026-03-02,inv0092
batch0285,LOT8451,65,115,2027-03-12,2026-03-03,inv0056
batch0286,LOT5273,55,100,2027-03-13,2026-03-01,inv0064
batch0287,LOT7366,60,105,2027-03-14,2026-03-02,inv0119
batch0288,LOT1664,75,130,2027-03-15,2026-03-03,inv0013
batch0289,LOT9042,80,140,2027-03-16,2026-03-01,inv0081
batch0290,LOT2763,90,150,2027-03-17,2026-03-02,inv0048
batch0291,LOT6174,50,100,2027-03-18,2026-03-03,inv0103
batch0292,LOT4529,60,110,2027-03-19,2026-03-01,inv0028
batch0293,LOT7817,45,90,2027-03-20,2026-03-02,inv0072
batch0294,LOT1395,70,120,2027-03-21,2026-03-03,inv0057
batch0295,LOT8661,65,115,2027-03-22,2026-03-01,inv0096
batch0296,LOT2950,55,100,2027-03-23,2026-03-02,inv0002
batch0297,LOT5749,60,105,2027-03-24,2026-03-03,inv0089
batch0298,LOT9072,75,130,2027-03-25,2026-03-01,inv0018
batch0299,LOT3221,80,140,2027-03-26,2026-03-02,inv0110
batch0300,LOT7498,90,150,2027-03-27,2026-03-03,inv0036
batch0301,LOT7428,50,100,2026-09-28,2026-03-01,inv0087
batch0302,LOT1935,60,110,2026-09-29,2026-03-02,inv0012
batch0303,LOT9681,45,90,2026-09-30,2026-03-03,inv0104
batch0304,LOT3146,70,120,2026-10-01,2026-03-01,inv0042
batch0305,LOT8790,65,115,2026-10-02,2026-03-02,inv0027
batch0306,LOT5281,55,100,2026-10-03,2026-03-03,inv0118
batch0307,LOT6915,60,105,2026-10-04,2026-03-01,inv0066
batch0308,LOT2463,75,130,2026-10-05,2026-03-02,inv0089
batch0309,LOT8358,80,140,2026-10-06,2026-03-03,inv0005
batch0310,LOT4012,90,150,2026-10-07,2026-03-01,inv0073
batch0311,LOT9184,50,100,2026-10-08,2026-03-02,inv0054
batch0312,LOT6021,60,110,2026-10-09,2026-03-03,inv0102
batch0313,LOT1759,45,90,2026-10-10,2026-03-01,inv0036
batch0314,LOT7826,70,120,2026-10-11,2026-03-02,inv0097
batch0315,LOT2640,65,115,2026-10-12,2026-03-03,inv0019
batch0316,LOT5342,55,100,2026-10-13,2026-03-01,inv0068
batch0317,LOT8461,60,105,2026-10-14,2026-03-02,inv0111
batch0318,LOT3924,75,130,2026-10-15,2026-03-03,inv0048
batch0319,LOT7283,80,140,2026-10-16,2026-03-01,inv0083
batch0320,LOT1690,90,150,2026-10-17,2026-03-02,inv0024
batch0321,LOT6897,50,100,2026-10-18,2026-03-03,inv0106
batch0322,LOT2488,60,110,2026-10-19,2026-03-01,inv0031
batch0323,LOT9912,45,90,2026-10-20,2026-03-02,inv0008
batch0324,LOT3154,70,120,2026-10-21,2026-03-03,inv0092
batch0325,LOT8453,65,115,2026-10-22,2026-03-01,inv0056
batch0326,LOT5279,55,100,2026-10-23,2026-03-02,inv0061
batch0327,LOT7362,60,105,2026-10-24,2026-03-03,inv0119
batch0328,LOT1678,75,130,2026-10-25,2026-03-01,inv0015
batch0329,LOT9045,80,140,2026-10-26,2026-03-02,inv0080
batch0330,LOT2769,90,150,2026-10-27,2026-03-03,inv0047
batch0331,LOT6179,50,100,2026-10-28,2026-03-01,inv0103
batch0332,LOT4512,60,110,2026-10-29,2026-03-02,inv0025
batch0333,LOT7838,45,90,2026-10-30,2026-03-03,inv0074
batch0334,LOT1386,70,120,2026-10-31,2026-03-01,inv0059
batch0335,LOT8669,65,115,2026-11-01,2026-03-02,inv0098
batch0336,LOT2948,55,100,2026-11-02,2026-03-03,inv0002
batch0337,LOT5743,60,105,2026-11-03,2026-03-01,inv0086
batch0338,LOT9066,75,130,2026-11-04,2026-03-02,inv0013
batch0339,LOT3226,80,140,2026-11-05,2026-03-03,inv0110
batch0340,LOT7489,90,150,2026-11-06,2026-03-01,inv0033
batch0341,LOT6572,50,100,2026-11-07,2026-03-02,inv0095
batch0342,LOT2384,60,110,2026-11-08,2026-03-03,inv0021
batch0343,LOT8756,45,90,2026-11-09,2026-03-01,inv0070
batch0344,LOT4127,70,120,2026-11-10,2026-03-02,inv0054
batch0345,LOT9658,65,115,2026-11-11,2026-03-03,inv0107
batch0346,LOT5296,55,100,2026-11-12,2026-03-01,inv0039
batch0347,LOT6831,60,105,2026-11-13,2026-03-02,inv0082
batch0348,LOT1473,75,130,2026-11-14,2026-03-03,inv0004
batch0349,LOT8324,80,140,2026-11-15,2026-03-01,inv0090
batch0350,LOT3968,90,150,2026-11-16,2026-03-02,inv0017
batch0351,LOT7416,50,100,2026-11-17,2026-03-03,inv0108
batch0352,LOT1890,60,110,2026-11-18,2026-03-01,inv0026
batch0353,LOT9607,45,90,2026-11-19,2026-03-02,inv0077
batch0354,LOT3170,70,120,2026-11-20,2026-03-03,inv0057
batch0355,LOT8732,65,115,2026-11-21,2026-03-01,inv0093
batch0356,LOT5218,55,100,2026-11-22,2026-03-02,inv0006
batch0357,LOT6934,60,105,2026-11-23,2026-03-03,inv0088
batch0358,LOT2486,75,130,2026-11-24,2026-03-01,inv0014
batch0359,LOT8345,80,140,2026-11-25,2026-03-02,inv0116
batch0360,LOT4053,90,150,2026-11-26,2026-03-03,inv0032
batch0361,LOT7485,50,100,2026-11-27,2026-03-01,inv0019
batch0362,LOT1937,60,110,2026-11-28,2026-03-02,inv0074
batch0363,LOT8264,45,90,2026-11-29,2026-03-03,inv0022
batch0364,LOT5642,70,120,2026-11-30,2026-03-01,inv0116
batch0365,LOT3098,65,115,2026-12-01,2026-03-02,inv0045
batch0366,LOT9176,55,100,2026-12-02,2026-03-03,inv0008
batch0367,LOT4521,60,105,2026-12-03,2026-03-01,inv0093
batch0368,LOT6803,75,130,2026-12-04,2026-03-02,inv0037
batch0369,LOT2759,80,140,2026-12-05,2026-03-03,inv0101
batch0370,LOT8391,90,150,2026-12-06,2026-03-01,inv0066
batch0371,LOT1148,50,100,2026-12-07,2026-03-02,inv0029
batch0372,LOT9672,60,110,2026-12-08,2026-03-03,inv0084
batch0373,LOT5386,45,90,2026-12-09,2026-03-01,inv0003
batch0374,LOT2467,70,120,2026-12-10,2026-03-02,inv0112
batch0375,LOT7750,65,115,2026-12-11,2026-03-03,inv0051
batch0376,LOT3914,55,100,2026-12-12,2026-03-01,inv0098
batch0377,LOT6082,60,105,2026-12-13,2026-03-02,inv0015
batch0378,LOT1593,75,130,2026-12-14,2026-03-03,inv0079
batch0379,LOT8841,80,140,2026-12-15,2026-03-01,inv0034
batch0380,LOT4207,90,150,2026-12-16,2026-03-02,inv0107
batch0381,LOT7365,50,100,2026-12-17,2026-03-03,inv0061
batch0382,LOT2984,60,110,2026-12-18,2026-03-01,inv0006
batch0383,LOT5610,45,90,2026-12-19,2026-03-02,inv0119
batch0384,LOT9073,70,120,2026-12-20,2026-03-03,inv0042
batch0385,LOT1439,65,115,2026-12-21,2026-03-01,inv0087
batch0386,LOT6528,55,100,2026-12-22,2026-03-02,inv0024
batch0387,LOT3781,60,105,2026-12-23,2026-03-03,inv0103
batch0388,LOT8257,75,130,2026-12-24,2026-03-01,inv0058
batch0389,LOT1946,80,140,2026-12-25,2026-03-02,inv0011
batch0390,LOT6890,90,150,2026-12-26,2026-03-03,inv0095
batch0391,LOT4723,50,100,2026-12-27,2026-03-01,inv0072
batch0392,LOT8306,60,110,2026-12-28,2026-03-02,inv0036
batch0393,LOT2158,45,90,2026-12-29,2026-03-03,inv0110
batch0394,LOT5974,70,120,2026-12-30,2026-03-01,inv0049
batch0395,LOT7612,65,115,2026-12-31,2026-03-02,inv0001
batch0396,LOT3489,55,100,2027-01-01,2026-03-03,inv0082
batch0397,LOT9261,60,105,2027-01-02,2026-03-01,inv0027
batch0398,LOT1705,75,130,2027-01-03,2026-03-02,inv0108
batch0399,LOT6843,80,140,2027-01-04,2026-03-03,inv0056
batch0400,LOT2537,90,150,2027-01-05,2026-03-01,inv0090
