order_id,menu_id,quantity,price
ord1606,mu0021,4,76.47
ord3384,mu0041,2,181.33
ord2287,mu0035,3,91.41
ord2881,mu0015,2,130.45
ord197,mu0046,2,164.72
ord321,mu0039,1,134.3
ord3623,mu0042,3,196.02
ord3383,mu0056,2,95.36
ord848,mu0050,5,152.31
ord2926,mu0070,3,68.56
ord1456,mu0040,3,35.51
ord745,mu0014,2,139.88
ord2985,mu0065,3,175.13
ord1585,mu0041,5,187.89
ord2189,mu0003,1,40.8
ord587,mu0022,4,119.14
ord810,mu0005,5,62.53
ord1997,mu0048,4,104.71
ord3459,mu0017,3,163.53
ord3382,mu0041,5,58.03
ord3797,mu0018,3,149.64
ord2833,mu0020,3,87.32
ord306,mu0044,2,36
ord1097,mu0021,4,116.75
ord1802,mu0039,3,25.11
ord2473,mu0008,3,167.99
ord1644,mu0069,1,106.3
ord2582,mu0015,2,180.13
ord3973,mu0007,1,158.6
ord1677,mu0048,3,91.63
ord3229,mu0059,3,21.77
ord705,mu0032,2,175.15
ord564,mu0032,2,40.42
ord3013,mu0032,3,61.03
ord1646,mu0052,1,41.59
ord3926,mu0024,4,114.88
ord274,mu0018,4,33.32
ord3794,mu0066,3,78.66
ord3202,mu0013,1,48.18
ord321,mu0037,1,90.75
ord1649,mu0009,4,149.5
ord3992,mu0049,4,110.26
ord1686,mu0025,1,92.4
ord1398,mu0048,1,63.47
ord2555,mu0039,4,21.17
ord3642,mu0038,1,175.65
ord1869,mu0020,5,92.52
ord1376,mu0020,5,41.3
ord2536,mu0034,4,52.17
ord714,mu0044,5,90.03
ord2564,mu0029,4,114.18
ord2646,mu0062,3,167.79
ord3901,mu0056,1,102.55
ord371,mu0075,4,115.77
ord3389,mu0024,1,104.72
ord2645,mu0012,2,161.45
ord1347,mu0024,4,117.39
ord2214,mu0047,5,113.71
ord3335,mu0002,1,62.9
ord2533,mu0063,1,171.67
ord2276,mu0021,4,112.92
ord3876,mu0010,4,124.59
ord2206,mu0062,4,74.6
ord737,mu0041,3,101.36
ord3571,mu0039,2,85.99
ord383,mu0062,4,22.03
ord3978,mu0074,1,165.16
ord2821,mu0037,1,180.58
ord713,mu0023,2,193.28
ord3183,mu0073,3,185.79
ord4080,mu0040,4,171.72
ord305,mu0070,1,62.31
ord105,mu0022,4,123.44
ord2360,mu0029,4,179.46
ord2196,mu0041,4,137.13
ord3013,mu0026,1,44.94
ord3750,mu0064,3,103.74
ord1124,mu0045,1,31.32
ord1303,mu0020,1,69.26
ord83,mu0014,1,141.66
ord1779,mu0042,3,126.31
ord1595,mu0075,2,192.11
ord1875,mu0038,2,72.81
ord2996,mu0003,1,155.53
ord295,mu0049,1,64.79
ord3342,mu0002,5,44.76
ord3137,mu0035,3,96.97
ord201,mu0037,2,67.14
ord3163,mu0002,3,32.78
ord3161,mu0052,4,88.66
ord2924,mu0053,1,77.75
ord1263,mu0065,3,176.13
ord3425,mu0047,5,171.94
ord2836,mu0016,5,182.56
ord2555,mu0037,2,138.84
ord427,mu0045,2,135.91
ord2300,mu0030,1,105.64
ord1390,mu0016,3,108.79
ord2648,mu0030,4,54.8
ord3950,mu0032,2,43.37
ord2654,mu0032,5,42.54
ord2511,mu0003,1,113.68
ord3004,mu0001,1,118.51
ord2791,mu0022,4,80.08
ord2239,mu0041,3,80.77
ord2655,mu0070,5,198.44
ord52,mu0010,1,162.5
ord3802,mu0002,5,99.77
ord518,mu0040,5,97.39
ord1471,mu0046,1,142.01
ord2368,mu0026,5,53.36
ord4006,mu0038,2,185.89
ord996,mu0058,4,25.96
ord3143,mu0007,4,142.2
ord2152,mu0018,4,74.93
ord3921,mu0066,2,132.99
ord467,mu0033,1,41.04
ord2637,mu0053,1,149.76
ord1707,mu0029,1,100.99
ord3040,mu0057,1,65.98
ord3180,mu0025,3,187.54
ord1124,mu0052,1,189.31
ord504,mu0004,1,37.91
ord1547,mu0043,5,153.15
ord2380,mu0047,1,78.55
ord1314,mu0055,4,80.54
ord952,mu0060,4,78.94
ord2684,mu0067,1,78.68
ord2325,mu0017,2,162.5
ord1835,mu0073,4,147.93
ord1701,mu0028,5,82.76
ord1336,mu0020,4,30.74
ord3904,mu0068,4,41.7
ord2738,mu0008,4,45.95
ord2729,mu0051,3,27.76
ord1925,mu0022,3,28.31
ord3303,mu0002,1,116.08
ord2281,mu0012,4,104.13
ord1608,mu0052,4,138.32
ord22,mu0032,1,113.73
ord951,mu0058,3,199.35
ord1360,mu0050,5,174.29
ord3838,mu0058,5,83.93
ord1259,mu0058,4,113.22
ord390,mu0039,3,27.02
ord3169,mu0057,5,159.49
ord1301,mu0055,3,169.33
ord1111,mu0040,5,185.41
ord1992,mu0044,5,72.72
ord3789,mu0031,5,100.42
ord2726,mu0053,5,25.87
ord1162,mu0055,1,84.59
ord3649,mu0065,4,42.03
ord3900,mu0074,5,102.39
ord3091,mu0027,1,166.77
ord194,mu0019,4,161.44
ord1266,mu0075,2,125.47
ord3178,mu0061,3,20.45
ord98,mu0014,4,145.68
ord3186,mu0068,4,71.19
ord2992,mu0061,2,38.9
ord2295,mu0006,1,120.32
ord357,mu0028,4,72.09
ord2604,mu0039,4,21.7
ord3777,mu0075,3,73.49
ord157,mu0058,2,114.54
ord2220,mu0074,1,46.29
ord3272,mu0062,1,32.63
ord174,mu0055,3,111.19
ord3360,mu0049,3,29.68
ord2411,mu0018,1,160.76
ord845,mu0035,1,146.44
ord1503,mu0042,5,149.68
ord2367,mu0042,2,103.08
ord3744,mu0031,2,184.8
ord3260,mu0050,3,128.76
ord3400,mu0012,4,30.07
ord4047,mu0058,2,67.23
ord394,mu0030,1,181.48
ord3388,mu0022,1,185.92
ord94,mu0017,3,152.46
ord3170,mu0047,5,190.81
ord1343,mu0029,3,101.2
ord2880,mu0012,2,99.63
ord4019,mu0043,1,83.55
ord462,mu0065,3,157.35
ord2178,mu0034,4,163.77
ord1511,mu0034,4,61.46
ord3596,mu0051,2,116.76
ord3615,mu0049,1,181.57
ord1172,mu0008,2,61.79
ord2138,mu0059,4,150.31
ord733,mu0016,5,99.37
ord3028,mu0019,2,49.1
ord3465,mu0033,1,155.57
ord3578,mu0030,1,129.34
ord1781,mu0016,2,183.52
ord3702,mu0029,3,190.25
ord1743,mu0055,3,28.89
ord2299,mu0042,4,47.67
ord2640,mu0072,1,62.53
ord2017,mu0042,1,71.99
ord1232,mu0030,5,185.22
ord3289,mu0057,3,195.54
ord596,mu0022,3,117.81
ord2062,mu0032,1,88.64
ord156,mu0030,4,102.63
ord78,mu0050,1,84.35
ord2074,mu0026,4,68.6
ord3411,mu0024,4,28.46
ord2237,mu0073,4,49.28
ord932,mu0045,2,170.33
ord3409,mu0009,5,65.82
ord1161,mu0016,5,92.77
ord1305,mu0053,4,150.31
ord3945,mu0049,5,71.6
ord231,mu0054,5,129.76
ord3827,mu0040,5,44.87
ord1245,mu0024,1,72.46
ord86,mu0040,2,46.34
ord2741,mu0021,2,199.56
ord2310,mu0005,4,132.34
ord2209,mu0023,2,72.74
ord1441,mu0012,2,61.08
ord116,mu0069,4,199.39
ord3567,mu0015,1,104.98
ord1452,mu0055,4,93.8
ord1878,mu0040,4,183.42
ord3,mu0028,1,150.39
ord3474,mu0075,4,172.47
ord952,mu0042,3,104.7
ord837,mu0003,1,77.69
ord3082,mu0058,4,151.57
ord672,mu0051,3,194.92
ord1127,mu0061,2,53.92
ord2320,mu0025,1,102.16
ord3846,mu0043,3,91.65
ord482,mu0007,4,101.95
ord530,mu0050,3,179.7
ord3020,mu0059,5,157.75
ord3176,mu0003,2,22.44
ord1399,mu0015,1,45.91
ord734,mu0053,3,169.27
ord3389,mu0056,1,162.16
ord3304,mu0071,1,190.83
ord2812,mu0031,1,146.58
ord709,mu0067,2,49.49
ord3883,mu0062,3,29.53
ord628,mu0002,1,118.65
ord1367,mu0018,4,60.07
ord3005,mu0013,2,178.48
ord1345,mu0006,1,143.27
ord1395,mu0045,3,143.4
ord3961,mu0045,3,45.77
ord3531,mu0069,5,26.35
ord2784,mu0019,1,140.77
ord2364,mu0043,3,63.8
ord845,mu0062,3,98.44
ord2910,mu0030,1,55.9
ord724,mu0003,2,37.44
ord1309,mu0059,1,104.61
ord2219,mu0023,2,174.16
ord2783,mu0042,5,121.03
ord2779,mu0005,2,127.59
ord2795,mu0001,3,70.39
ord1867,mu0043,4,123.01
ord3181,mu0047,1,160.82
ord2849,mu0064,2,96.87
ord2514,mu0002,2,43.17
ord377,mu0056,4,187.8
ord3122,mu0050,1,72.36
ord573,mu0037,5,132.63
ord3737,mu0049,3,115.05
ord3817,mu0032,3,44.09
ord1583,mu0071,3,107.67
ord3386,mu0061,3,199.33
ord678,mu0018,4,178.09
ord386,mu0073,5,114.33
ord795,mu0067,2,93.92
ord2617,mu0058,1,91.55
ord890,mu0007,5,163.94
ord3498,mu0030,1,120.63
ord2188,mu0007,5,68.67
ord2386,mu0022,3,41.27
ord1541,mu0022,2,99.35
ord277,mu0042,4,94.55
ord766,mu0066,5,146.43
ord2606,mu0006,4,42.65
ord463,mu0009,4,135.62
ord2641,mu0068,5,99.72
ord1488,mu0031,4,137.74
ord1357,mu0057,2,138.27
ord2745,mu0012,3,149.41
ord1071,mu0075,5,183.52
ord1728,mu0019,1,50.22
ord1203,mu0071,2,198.73
ord1757,mu0069,4,179.16
ord2925,mu0044,5,58.31
ord2446,mu0055,1,99.48
ord3126,mu0046,5,112.7
ord1502,mu0030,3,55.58
ord2470,mu0022,2,156.81
ord1498,mu0017,1,145.29
ord3584,mu0015,3,52.91
ord2500,mu0055,3,139.2
ord2224,mu0002,4,122.55
ord2205,mu0045,3,132.86
ord2137,mu0075,3,145.42
ord2533,mu0072,5,86.41
ord638,mu0027,4,54.32
ord20,mu0008,2,85.28
ord102,mu0057,4,21.09
ord2106,mu0039,4,102.6
ord3903,mu0029,4,144.4
ord501,mu0033,1,46.44
ord2662,mu0003,5,107.63
ord2998,mu0015,1,162.63
ord3240,mu0074,3,56.29
ord2858,mu0033,5,124.81
ord2153,mu0020,2,151.46
ord3371,mu0050,4,51.38
ord2545,mu0048,1,33.68
ord2279,mu0055,5,156.4
ord169,mu0044,1,62.18
ord2576,mu0071,5,77.1
ord2078,mu0007,1,70.36
ord2687,mu0025,2,133.42
ord2546,mu0067,2,67.37
ord2997,mu0022,5,85.53
ord1745,mu0020,2,75.87
ord3166,mu0004,3,102.74
ord1516,mu0075,4,25.78
ord1543,mu0034,3,193.33
ord160,mu0003,1,91.86
ord2014,mu0052,5,105.2
ord2109,mu0051,1,113.99
ord3092,mu0031,3,126.39
ord498,mu0063,2,187.78
ord2983,mu0040,2,137.73
ord2709,mu0007,3,125.31
ord150,mu0005,2,144.16
ord1755,mu0025,5,88.38
ord1207,mu0058,1,104.24
ord2817,mu0057,4,166.28
ord2661,mu0009,1,119.29
ord2422,mu0067,2,98.68
ord3430,mu0013,2,197.96
ord1133,mu0018,3,130.96
ord270,mu0028,4,27.62
ord918,mu0035,5,48.69
ord2876,mu0052,2,111.4
ord450,mu0037,2,105.57
ord811,mu0044,1,117.89
ord1573,mu0005,5,54.4
ord3432,mu0001,5,94.09
ord193,mu0007,4,117.96
ord3462,mu0033,3,152.77
ord3150,mu0026,5,161.14
ord229,mu0050,1,110.43
ord2455,mu0067,2,198.96
ord234,mu0067,4,45.27
ord2990,mu0002,4,122.17
ord1439,mu0053,2,198.6
ord2898,mu0050,5,157.69
ord3646,mu0023,3,156.44
ord3733,mu0059,4,142.37
ord626,mu0047,4,182.91
ord533,mu0014,2,196.21
ord293,mu0059,3,121.11
ord4010,mu0008,4,115.96
ord3391,mu0027,5,82.89
ord1066,mu0004,5,174.34
ord3165,mu0030,2,89.29
ord3142,mu0063,5,134.04
ord2119,mu0056,3,194.05
ord1249,mu0017,5,141.21
ord3651,mu0075,5,177.92
ord2129,mu0069,3,104.47
ord1212,mu0001,2,72.91
ord3857,mu0057,4,31.45
ord799,mu0033,3,164.06
ord4067,mu0017,1,24.12
ord2973,mu0030,3,144.52
ord3411,mu0056,5,95.69
ord2178,mu0038,3,51.84
ord3080,mu0059,5,78.21
ord2350,mu0055,1,75.71
ord3475,mu0017,5,179.33
ord1894,mu0016,3,168.83
ord3541,mu0033,2,148.43
ord1574,mu0074,4,85.03
ord2032,mu0075,4,89.76
ord371,mu0028,4,33.23
ord1453,mu0051,1,52.6
ord1511,mu0038,3,41.43
ord2847,mu0001,2,111.62
ord3712,mu0012,3,83.4
ord1149,mu0017,1,80.48
ord1028,mu0055,4,186.61
ord753,mu0033,5,186.32
ord2994,mu0057,2,123.16
ord3798,mu0048,1,31.74
ord2795,mu0036,2,191.1
ord1688,mu0049,3,139.46
ord3319,mu0052,1,84.95
ord2063,mu0074,4,124.51
ord2784,mu0054,5,33.79
ord3613,mu0051,1,53.65
ord3219,mu0059,4,75.8
ord2671,mu0043,2,157.43
ord2817,mu0028,1,139.47
ord925,mu0015,4,176.91
ord2679,mu0065,4,111.09
ord324,mu0028,3,87.42
ord683,mu0035,3,55.91
ord1132,mu0012,3,21.37
ord4064,mu0024,3,69.95
ord4025,mu0009,4,34.35
ord1470,mu0007,1,131.11
ord1174,mu0071,1,89.41
ord1393,mu0045,2,114.64
ord2995,mu0057,3,152.33
ord2961,mu0056,2,171.53
ord3438,mu0053,1,146.24
ord3978,mu0034,2,137.77
ord2711,mu0027,1,51.92
ord3508,mu0063,3,160.58
ord2254,mu0045,4,88.19
ord3499,mu0053,4,134.5
ord396,mu0045,5,85.28
ord10,mu0073,2,100.8
ord1187,mu0053,3,153
ord171,mu0067,4,138.98
ord1113,mu0040,4,96.42
ord3619,mu0071,5,112.35
ord2718,mu0018,4,180.45
ord2361,mu0063,2,41.25
ord747,mu0018,5,49
ord2225,mu0062,1,84.19
ord3702,mu0001,5,174.33
ord1015,mu0042,2,72.23
ord1938,mu0036,4,109.55
ord1351,mu0050,2,74.16
ord3922,mu0061,1,161.22
ord2343,mu0048,2,31.52
ord2334,mu0023,5,119.74
ord250,mu0070,1,190.59
ord1244,mu0046,1,51.43
ord1404,mu0049,2,116.73
ord2051,mu0040,3,93.01
ord510,mu0031,3,158.22
ord970,mu0031,5,126.42
ord1265,mu0038,5,33.12
ord3380,mu0054,1,109.55
ord1487,mu0032,2,50.42
ord928,mu0016,1,166.26
ord3605,mu0049,4,30.39
ord585,mu0002,3,68.14
ord4004,mu0041,4,35.32
ord1700,mu0041,4,98.27
ord4022,mu0006,3,110.3
ord1663,mu0027,3,34.8
ord1042,mu0046,2,79.24
ord501,mu0067,2,142.2
ord2858,mu0067,1,194.8
ord4080,mu0043,1,113.16
ord1438,mu0048,4,47.11
ord4012,mu0013,1,61.54
ord2991,mu0055,1,84.36
ord2087,mu0061,2,27.22
ord1928,mu0040,2,198.26
ord2787,mu0031,5,37.39
ord1092,mu0040,5,59.42
ord3274,mu0022,2,186.52
ord1609,mu0047,2,48.87
ord2015,mu0074,3,137.95
ord256,mu0069,1,79.25
ord3259,mu0042,1,82.02
ord3343,mu0059,3,167.93
ord2770,mu0044,5,63.31
ord1234,mu0051,3,59.35
ord207,mu0041,2,26.73
ord479,mu0047,1,193.51
ord3852,mu0017,3,23.07
ord227,mu0004,5,89.58
ord3375,mu0022,3,28.4
ord68,mu0064,4,62.74
ord41,mu0007,3,25.88
ord1266,mu0028,2,66.14
ord2799,mu0044,1,127.35
ord1487,mu0026,1,33
ord1172,mu0060,4,148.66
ord208,mu0069,1,53.81
ord3314,mu0067,1,124.91
ord2025,mu0026,1,187.06
ord3548,mu0012,2,57.48
ord3996,mu0016,3,49.67
ord565,mu0030,1,179.5
ord275,mu0067,5,23.43
ord1724,mu0005,5,61.09
ord2578,mu0013,5,170.27
ord1757,mu0070,2,179.77
ord3711,mu0015,1,80.58
ord1440,mu0065,3,112.52
ord650,mu0048,2,88.17
ord2274,mu0072,4,189.17
ord558,mu0027,4,192.57
ord3264,mu0010,4,118
ord251,mu0067,2,195.57
ord3062,mu0062,4,37.84
ord3725,mu0036,5,113.96
ord3129,mu0026,4,178.47
ord1672,mu0075,2,27.53
ord681,mu0008,5,65.79
ord3900,mu0034,2,186.43
ord3462,mu0067,5,91.07
ord1209,mu0008,3,102.27
ord1909,mu0071,4,22.08
ord1146,mu0069,2,59.46
ord1320,mu0039,2,147.45
ord145,mu0013,2,79.74
ord1920,mu0001,5,175.44
ord1721,mu0056,4,23.17
ord1212,mu0036,1,71
ord3557,mu0038,5,147.8
ord2530,mu0049,2,121.97
ord624,mu0045,5,143.19
ord1925,mu0018,4,28.27
ord2980,mu0060,3,154.55
ord3717,mu0071,5,179.71
ord2160,mu0050,1,133.32
ord2873,mu0001,3,113.36
ord408,mu0056,5,133.74
ord2112,mu0017,3,133.78
ord327,mu0033,5,50.46
ord989,mu0034,5,89.99
ord2885,mu0074,3,134.71
ord2526,mu0041,1,65.91
ord291,mu0027,4,25.92
ord3763,mu0049,4,187.42
ord1467,mu0022,1,39.28
ord175,mu0050,3,180.62
ord750,mu0070,4,84.76
ord1179,mu0061,5,54.31
ord746,mu0057,3,79.4
ord2460,mu0030,3,24.75
ord1890,mu0055,3,156.37
ord2905,mu0065,1,140.15
ord1997,mu0061,3,47.14
ord1073,mu0055,2,93.71
ord574,mu0033,4,179.25
ord451,mu0036,5,38.91
ord753,mu0067,4,160.33
ord2481,mu0024,3,111.91
ord3023,mu0068,5,191.95
ord832,mu0055,4,152.5
ord1407,mu0014,1,45.61
ord3277,mu0019,1,25.8
ord1051,mu0020,4,173.84
ord2079,mu0042,1,159.61
ord3606,mu0055,2,153.54
ord2022,mu0014,1,33.96
ord1320,mu0037,2,117.46
ord1402,mu0004,4,128.12
ord2216,mu0035,4,163.93
ord1813,mu0021,5,89.95
ord341,mu0051,2,151.59
ord3916,mu0004,1,184.38
ord2716,mu0071,3,128.32
ord16,mu0075,5,65.08
ord3703,mu0066,2,133.39
ord258,mu0001,4,103.53
ord3479,mu0032,1,189.63
ord470,mu0059,3,177.91
ord1242,mu0024,5,86.05
ord123,mu0027,4,118.06
ord2670,mu0062,4,68.35
ord1967,mu0037,1,64.61
ord607,mu0026,1,94.54
ord108,mu0021,2,72.9
ord4020,mu0055,5,150
ord1722,mu0025,1,103.7
ord2883,mu0029,1,47.91
ord543,mu0020,1,122.14
ord3700,mu0001,5,153.12
ord129,mu0007,2,37.79
ord3788,mu0035,4,109.51
ord3885,mu0051,2,96.35
ord1199,mu0066,2,190.03
ord3532,mu0058,4,45.61
ord1606,mu0027,4,27.51
ord3694,mu0063,2,31.74
ord3885,mu0064,2,58.27
ord2864,mu0039,4,168.42
ord2928,mu0075,5,161.2
ord3577,mu0069,5,162.48
ord2600,mu0045,1,92.1
ord1763,mu0016,1,135.89
ord1401,mu0055,5,157.18
ord2120,mu0008,1,177.41
ord1959,mu0015,5,32.29
ord1251,mu0005,5,87.31
ord3917,mu0049,5,189.03
ord2970,mu0044,5,124.97
ord3052,mu0035,2,172.87
ord2440,mu0061,2,171.28
ord3956,mu0025,2,48.14
ord4064,mu0056,4,146.85
ord3992,mu0063,1,103.29
ord2014,mu0058,1,92.34
ord2245,mu0071,2,45.14
ord3369,mu0031,2,21.04
ord1364,mu0001,4,63.04
ord20,mu0060,2,174.48
ord905,mu0072,5,32.76
ord2437,mu0025,5,45.91
ord1411,mu0010,3,94.06
ord286,mu0073,1,171.4
ord1551,mu0021,2,82.18
ord2931,mu0039,3,172.07
ord3690,mu0040,5,53.32
ord3586,mu0039,3,104.54
ord552,mu0033,2,124.03
ord2395,mu0046,5,133.84
ord1251,mu0065,2,31.8
ord525,mu0070,1,69.25
ord282,mu0030,1,21.82
ord2701,mu0003,2,97.15
ord3284,mu0072,2,74.09
ord2884,mu0040,2,113.04
ord243,mu0009,1,76.95
ord2060,mu0071,3,31.47
ord2864,mu0037,5,59.07
ord1297,mu0006,5,195.53
ord2443,mu0072,1,163.23
ord4069,mu0062,4,199.57
ord3527,mu0024,5,65.94
ord1082,mu0052,2,87.76
ord580,mu0033,2,69.12
ord926,mu0009,5,100.92
ord2122,mu0030,4,49.3
ord2573,mu0072,5,99.59
ord3540,mu0074,5,83.61
ord2216,mu0062,1,46.12
ord763,mu0054,2,197.85
ord2336,mu0066,1,113.47
ord3745,mu0046,1,25.53
ord1520,mu0040,4,114.54
ord1522,mu0036,3,85.43
ord2519,mu0003,3,65.91
ord961,mu0053,4,26.97
ord3704,mu0021,2,154.17
ord465,mu0024,3,165.53
ord3195,mu0005,4,58.3
ord2020,mu0015,1,173.44
ord2904,mu0059,2,112.15
ord3337,mu0002,5,179.14
ord295,mu0063,1,175.94
ord2281,mu0037,3,95.74
ord1408,mu0022,5,199.71
ord355,mu0012,2,112.22
ord2272,mu0006,3,196.5
ord1866,mu0010,5,169.22
ord3573,mu0006,4,149.23
ord2276,mu0027,5,119.07
ord3951,mu0032,4,118.12
ord3892,mu0039,2,139.25
ord1050,mu0021,2,23.72
ord314,mu0047,1,125.71
ord3688,mu0010,2,188.38
ord3400,mu0039,2,169.85
ord3403,mu0014,4,27.62
ord3788,mu0062,5,75.54
ord794,mu0059,5,53.64
ord1854,mu0018,2,47.65
ord2364,mu0006,4,78.06
ord10,mu0014,2,155.55
ord2054,mu0032,1,85.31
ord3963,mu0012,5,113.36
ord1599,mu0021,4,22.87
ord2121,mu0019,2,56.32
ord3460,mu0042,3,102.5
ord1240,mu0021,3,75.32
ord731,mu0075,5,137.41
ord3578,mu0056,2,156.09
ord3052,mu0062,5,162.49
ord1358,mu0054,5,154.41
ord333,mu0030,3,145.25
ord2,mu0044,4,166.56
ord3240,mu0034,4,55.58
ord128,mu0023,3,85.98
ord1980,mu0059,5,193.47
ord2730,mu0019,3,104.81
ord2488,mu0065,2,186.68
ord554,mu0009,3,110.17
ord764,mu0055,2,102.12
ord983,mu0011,5,52.82
ord2494,mu0011,1,163.42
ord2476,mu0022,3,68.58
ord1827,mu0049,5,52.61
ord2435,mu0025,4,48
ord1232,mu0056,3,79.83
ord288,mu0022,4,190.49
ord3481,mu0017,4,169.03
ord4010,mu0060,1,111.7
ord2854,mu0057,3,162.88
ord2878,mu0032,5,87.06
ord3340,mu0011,5,159.53
ord3951,mu0026,3,39.22
ord447,mu0066,2,40.48
ord2235,mu0001,2,169.13
ord1356,mu0048,1,155.64
ord604,mu0055,1,146.85
ord2504,mu0051,5,181.01
ord2054,mu0026,3,68.43
ord1568,mu0019,2,149.48
ord2632,mu0032,5,29.32
ord307,mu0043,4,154.77
ord2510,mu0063,2,76.77
ord2477,mu0062,3,162.37
ord3321,mu0045,4,107.65
ord1231,mu0016,5,36.74
ord910,mu0075,3,35.27
ord221,mu0044,5,131.41
ord744,mu0033,3,146.49
ord18,mu0017,4,139.62
ord99,mu0042,2,106.46
ord902,mu0042,3,96.82
ord3528,mu0069,1,121.12
ord2903,mu0051,2,143.73
ord3172,mu0066,4,151.19
ord1756,mu0028,1,103.91
ord3443,mu0045,5,101.34
ord1306,mu0012,1,88.16
ord934,mu0014,2,193.9
ord3910,mu0075,5,170.72
ord1572,mu0029,1,74.92
ord301,mu0057,2,133.2
ord3492,mu0014,5,178.65
ord4015,mu0021,2,187.71
ord1778,mu0026,4,80.99
ord1344,mu0051,4,50.61
ord130,mu0044,3,169.31
ord2902,mu0030,1,60.58
ord951,mu0065,3,126.16
ord2130,mu0057,1,47.33
ord2086,mu0009,5,104.97
ord1344,mu0064,3,171.29
ord656,mu0052,2,109.39
ord1578,mu0012,5,120.08
ord3458,mu0048,5,63.23
ord3096,mu0016,4,20.45
ord3651,mu0028,3,29.58
ord1259,mu0065,1,129.28
ord3818,mu0026,3,114.74
ord2894,mu0048,1,145.96
ord2442,mu0024,2,41.14
ord222,mu0034,2,24.04
ord1303,mu0054,2,60.72
ord716,mu0053,1,68.13
ord3614,mu0030,4,34.06
ord1661,mu0039,5,171.89
ord2270,mu0038,4,47.61
ord1070,mu0018,5,147.09
ord1146,mu0070,4,136.59
ord1441,mu0037,2,133.93
ord1839,mu0069,1,186.96
ord2045,mu0049,5,135.73
ord1519,mu0071,4,147.87
ord2715,mu0038,5,119.01
ord33,mu0050,4,46.69
ord3360,mu0063,5,102.11
ord2818,mu0035,1,66.88
ord32,mu0058,2,77.12
ord45,mu0047,4,157.25
ord2793,mu0030,2,75.02
ord2712,mu0015,5,110.2
ord2753,mu0019,4,98.94
ord3191,mu0040,5,76.98
ord3254,mu0062,2,197.27
ord1416,mu0055,3,104.35
ord1768,mu0047,3,57.62
ord2133,mu0049,3,160.05
ord3721,mu0054,3,24.12
ord157,mu0065,5,27.4
ord2102,mu0047,3,48.68
ord1818,mu0001,3,156.23
ord3919,mu0033,2,141.49
ord3226,mu0038,2,77
ord211,mu0066,3,198.36
ord638,mu0005,5,170.75
ord1970,mu0069,3,46.99
ord491,mu0068,2,140.05
ord1254,mu0063,2,22.11
ord4042,mu0020,3,84.47
ord2349,mu0070,3,103.51
ord3632,mu0022,5,47.23
ord655,mu0048,4,159.79
ord50,mu0035,4,126.85
ord735,mu0008,3,188.24
ord1121,mu0033,4,187.91
ord3317,mu0049,1,123.58
ord2348,mu0069,4,49
