payment_id,payment_method,paid_at,amount,payment_status,order_id
P279,QR Payment,2026-03-01 19:18:00,0,Paid,ord279
P280,Cash,2026-03-01 19:20:00,256.98,Paid,ord280
P281,Credit Card,2026-03-01 19:22:00,284.11,Paid,ord281
P282,Cash,2026-03-24 11:30:55,138.33,Pending,ord282
P283,QR Payment,2026-03-01 19:26:00,429.91,Paid,ord283
P284,Cash,2026-03-01 19:28:00,104.17,Paid,ord284
P285,Cash,2026-03-01 19:30:00,0,Failed,ord285
P286,QR Payment,2026-03-01 19:32:00,0,Failed,ord286
P287,Cash,2026-03-01 19:34:00,383.07,Paid,ord287
P288,QR Payment,2026-03-01 19:36:00,502.6,Paid,ord288
P289,Cash,2026-03-01 19:38:00,133.1,Paid,ord289
P290,Cash,2026-03-01 19:40:00,312.37,Paid,ord290
P291,QR Payment,2026-03-24 11:30:55,453.37,Pending,ord291
P292,Cash,2026-03-01 19:44:00,527.58,Paid,ord292
P293,Cash,2026-03-01 19:46:00,398.91,Paid,ord293
P294,Credit Card,2026-03-01 19:48:00,473.43,Paid,ord294
P295,Cash,2026-03-24 11:30:55,495.56,Pending,ord295
P296,Credit Card,2026-03-01 19:52:00,0,Failed,ord296
P297,Credit Card,2026-03-01 19:54:00,339.09,Paid,ord297
P298,Credit Card,2026-03-24 11:30:55,206.64,Pending,ord298
P299,QR Payment,2026-03-01 19:58:00,143.45,Paid,ord299
P300,QR Payment,2026-03-01 20:00:00,526.7,Paid,ord300
P301,Cash,2026-03-01 20:02:00,0,Failed,ord301
P302,QR Payment,2026-03-01 20:04:00,467.1,Paid,ord302
P303,Credit Card,2026-03-01 20:06:00,389.03,Paid,ord303
P304,Credit Card,2026-03-01 20:08:00,501.33,Paid,ord304
P305,Credit Card,2026-03-24 11:30:55,462.68,Pending,ord305
P306,Cash,2026-03-01 20:12:00,0,Failed,ord306
P307,Credit Card,2026-03-01 20:14:00,506.43,Paid,ord307
P308,QR Payment,2026-03-24 11:30:55,51.66,Pending,ord308
P309,Credit Card,2026-03-01 20:18:00,267.06,Paid,ord309
P310,QR Payment,2026-03-01 20:20:00,0,Failed,ord310
P311,QR Payment,2026-03-01 20:22:00,93.17,Paid,ord311
P312,QR Payment,2026-03-01 20:24:00,491.37,Paid,ord312
P313,QR Payment,2026-03-01 20:26:00,105.71,Paid,ord313
P314,Credit Card,2026-03-24 11:30:55,83.12,Pending,ord314
P315,QR Payment,2026-03-01 20:30:00,495.39,Paid,ord315
P316,Credit Card,2026-03-01 20:32:00,0,Failed,ord316
P317,QR Payment,2026-03-01 20:34:00,58.5,Paid,ord317
P318,Cash,2026-03-24 11:30:55,255.95,Pending,ord318
P319,Credit Card,2026-03-01 20:38:00,250.98,Paid,ord319
P320,Credit Card,2026-03-01 20:40:00,518.83,Paid,ord320
P321,Credit Card,2026-03-01 20:42:00,112.79,Paid,ord321
P322,Credit Card,2026-03-01 20:44:00,323.67,Paid,ord322
P323,Credit Card,2026-03-01 20:46:00,458.61,Paid,ord323
P324,Cash,2026-03-01 20:48:00,140.29,Paid,ord324
P325,Cash,2026-03-24 11:30:55,109.2,Pending,ord325
P326,Cash,2026-03-01 20:52:00,484.59,Paid,ord326
P327,Credit Card,2026-03-01 20:54:00,0,Failed,ord327
P328,QR Payment,2026-03-01 20:56:00,442.32,Paid,ord328
P329,Credit Card,2026-03-01 20:58:00,453.55,Paid,ord329
P330,Cash,2026-03-01 21:00:00,276.08,Paid,ord330
P331,Credit Card,2026-03-01 21:02:00,501.57,Paid,ord331
P332,Credit Card,2026-03-01 21:04:00,285.11,Paid,ord332
P333,Cash,2026-03-01 21:06:00,202.71,Paid,ord333
P334,Credit Card,2026-03-01 21:08:00,389.1,Paid,ord334
P335,Credit Card,2026-03-01 21:10:00,516.15,Paid,ord335
P336,Cash,2026-03-24 11:30:55,477.01,Pending,ord336
P337,Credit Card,2026-03-24 11:30:55,453.8,Pending,ord337
P338,Cash,2026-03-01 21:16:00,422.77,Paid,ord338
P339,Cash,2026-03-01 21:18:00,0,Failed,ord339
P340,Credit Card,2026-03-01 21:20:00,65.97,Paid,ord340
P341,Cash,2026-03-01 21:22:00,311.45,Paid,ord341
P342,Cash,2026-03-01 21:24:00,159.75,Paid,ord342
P343,QR Payment,2026-03-24 11:30:55,265.61,Pending,ord343
P344,QR Payment,2026-03-01 21:28:00,0,Failed,ord344
P345,Cash,2026-03-01 21:30:00,227.84,Paid,ord345
P346,Credit Card,2026-03-01 21:32:00,0,Paid,ord346
P347,Cash,2026-03-01 21:34:00,0,Failed,ord347
P348,Cash,2026-03-01 21:36:00,77.37,Paid,ord348
P349,QR Payment,2026-03-01 21:38:00,209.19,Paid,ord349
P350,Cash,2026-03-01 21:40:00,163.89,Paid,ord350
P351,Cash,2026-03-01 21:42:00,160.89,Paid,ord351
P352,Cash,2026-03-01 21:44:00,0,Failed,ord352
P353,Cash,2026-03-01 21:46:00,45.74,Paid,ord353
P354,Credit Card,2026-03-24 11:30:55,228.55,Pending,ord354
P355,Credit Card,2026-03-01 21:50:00,475.8,Paid,ord355
P356,Cash,2026-03-01 21:52:00,0,Failed,ord356
P357,Cash,2026-03-24 11:30:55,0,Pending,ord357
P358,Credit Card,2026-03-24 11:30:55,339.89,Pending,ord358
P359,Cash,2026-03-01 21:58:00,0,Failed,ord359
P360,Credit Card,2026-03-01 22:00:00,0,Paid,ord360
P361,QR Payment,2026-03-01 22:02:00,361.13,Paid,ord361
P362,QR Payment,2026-03-01 22:04:00,90.23,Paid,ord362
P363,Cash,2026-03-01 22:06:00,316.14,Paid,ord363
P364,QR Payment,2026-03-01 22:08:00,155.9,Paid,ord364
P365,Credit Card,2026-03-01 22:10:00,262.67,Paid,ord365
P366,Credit Card,2026-03-01 22:12:00,81.66,Paid,ord366
P367,Cash,2026-03-01 22:14:00,492.28,Paid,ord367
P368,Credit Card,2026-03-01 22:16:00,218.16,Paid,ord368
P369,Credit Card,2026-03-01 22:18:00,483.49,Paid,ord369
P370,Credit Card,2026-03-01 22:20:00,310.83,Paid,ord370
P371,QR Payment,2026-03-01 22:22:00,0,Paid,ord371
P372,Credit Card,2026-03-01 22:24:00,294.97,Paid,ord372
P373,QR Payment,2026-03-01 22:26:00,334.57,Paid,ord373
P374,Cash,2026-03-01 22:28:00,375.54,Paid,ord374
P375,Cash,2026-03-24 11:30:55,67.92,Pending,ord375
P376,QR Payment,2026-03-01 22:32:00,94.28,Paid,ord376
P377,Cash,2026-03-01 22:34:00,402.76,Paid,ord377
P378,Credit Card,2026-03-01 22:36:00,123.41,Paid,ord378
P379,Cash,2026-03-01 22:38:00,195.17,Paid,ord379
P380,Credit Card,2026-03-01 22:40:00,220.84,Paid,ord380
P381,QR Payment,2026-03-01 22:42:00,435.42,Paid,ord381
P382,Credit Card,2026-03-01 22:44:00,233.27,Paid,ord382
P383,Cash,2026-03-01 22:46:00,304.36,Paid,ord383
P384,Cash,2026-03-01 22:48:00,117.26,Paid,ord384
P385,QR Payment,2026-03-24 11:30:55,284.71,Pending,ord385
P386,Credit Card,2026-03-01 22:52:00,512.44,Paid,ord386
P387,QR Payment,2026-03-01 22:54:00,339.7,Paid,ord387
P388,QR Payment,2026-03-01 22:56:00,256.19,Paid,ord388
P389,QR Payment,2026-03-01 22:58:00,387.21,Paid,ord389
P390,QR Payment,2026-03-01 23:00:00,457.02,Paid,ord390
P391,Cash,2026-03-01 23:02:00,116.59,Paid,ord391
P392,Credit Card,2026-03-24 11:30:55,524.42,Pending,ord392
P393,QR Payment,2026-03-01 23:06:00,73.94,Paid,ord393
P394,Credit Card,2026-03-01 23:08:00,212.36,Paid,ord394
P395,Credit Card,2026-03-01 23:10:00,0,Paid,ord395
P396,Cash,2026-03-24 11:30:55,234.33,Pending,ord396
P397,QR Payment,2026-03-01 23:14:00,283.87,Paid,ord397
P398,QR Payment,2026-03-01 23:16:00,409.09,Paid,ord398
P399,Credit Card,2026-03-01 23:18:00,0,Failed,ord399
P400,QR Payment,2026-03-01 23:20:00,456.67,Paid,ord400
P401,QR Payment,2026-03-01 23:22:00,379.66,Paid,ord401
P402,Cash,2026-03-24 11:30:55,227.25,Pending,ord402
P403,Cash,2026-03-01 23:26:00,364.54,Paid,ord403
P404,Cash,2026-03-01 23:28:00,193.66,Paid,ord404
P405,QR Payment,2026-03-01 23:30:00,136.01,Paid,ord405
P406,Credit Card,2026-03-24 11:30:55,71.85,Pending,ord406
P407,Credit Card,2026-03-01 23:34:00,386.31,Paid,ord407
P408,Credit Card,2026-03-01 23:36:00,113.5,Paid,ord408
P409,QR Payment,2026-03-01 23:38:00,0,Failed,ord409
P410,Cash,2026-03-01 23:40:00,211.71,Paid,ord410
P411,Credit Card,2026-03-01 23:42:00,486.72,Paid,ord411
P412,Cash,2026-03-01 23:44:00,0,Failed,ord412
P413,QR Payment,2026-03-01 23:46:00,243.88,Paid,ord413
P414,QR Payment,2026-03-01 23:48:00,386.1,Paid,ord414
P415,QR Payment,2026-03-24 11:30:55,0,Pending,ord415
P416,Credit Card,2026-03-01 23:52:00,85.01,Paid,ord416
P417,Cash,2026-03-01 23:54:00,328.31,Paid,ord417
P418,QR Payment,2026-03-01 23:56:00,194.78,Paid,ord418
P419,Credit Card,2026-03-01 23:58:00,452.1,Paid,ord419
P420,QR Payment,2026-03-02 00:00:00,261.72,Paid,ord420
P421,Cash,2026-03-02 00:02:00,292,Paid,ord421
P422,Cash,2026-03-02 00:04:00,348.14,Paid,ord422
